stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,24,1,0,0,2,0,0,0,0,5,16,0,0,0,0,0
 24-34,0,0,0,2.46,3.28,0,9.03,0,0,0,0.82,1.64,0,0.82,0,0,0,0,0.82,0,5.75,0,0,0,66.49,0,1.64,0,0,0,0.82,0,0,1.64,28.73,0,0,1.64,0,0.82
 36-46,0,0,0.81,0,0.81,0,27.39,0,0,0,3.22,0,0,0,0,0,0,0,0,0,2.42,0,0.81,1.61,89.43,0,0.81,2.42,0,0,0.81,0.81,0,0,31.42,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,83.2,0,0,0,7.46,0,0.57,0,0,0,0.57,0.57,0,0,5.74,0,0,2.3,126.24,0,0,1.72,0,0,0,0,0,0,28.12,0,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,2.94,0,278.75,0,0,0.98,7.85,0,0,0,0,0,0.98,0.98,0,0,11.78,0,0.98,1.96,175.69,0.98,1.96,0.98,0,0,1.96,0,0.98,0,32.39,0,0,0.98,0,0
 72-82,0,0,0,1.96,9.82,0,462.36,0,0.98,0.98,31.41,0,0,0,1.96,0,0,0.98,0,0,19.63,0.98,0,2.94,178.66,0,8.83,0,0,0,0.98,0,0,0,23.56,0.98,1.96,0.98,0,0.98
 84-94,0,0,0,4.25,8.5,0,238.96,0,0,3.19,16.99,1.06,0,0,0,0,1.06,0,0,0,13.81,1.06,0,3.19,81.78,0,3.19,2.12,0,0,3.19,0,0,0,15.93,1.06,0,2.12,0,0
 96-106,0,0,1.09,8.74,10.93,0,278.68,1.09,1.09,0,19.67,2.19,0,0,2.19,1.09,1.09,0,2.19,1.09,17.49,1.09,1.09,1.09,88.52,1.09,5.46,3.28,0,1.09,1.09,0,1.09,0,3.28,1.09,0,0,0,2.19
108-118,0,0,0,8.43,5.36,0.77,261.19,1.53,0.77,1.53,11.49,1.53,0,0,0.77,0,0,0,0,0.77,16.85,0,1.53,6.13,97.28,0,3.06,3.06,0,0.77,2.3,0,0,0,5.36,0,0,1.53,1.53,0.77
120,0,0,0,13.72,9.8,0,254.77,1.96,0,0,17.64,1.96,0,0,5.88,0,0,1.96,1.96,0,23.52,0,3.92,7.84,107.79,3.92,3.92,5.88,0,0,5.88,0,0,0,3.92,0,0,0,1.96,1.96
