stage,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,neural,notochord,periderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,15.77,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0
120,0,0,0,0,0,1.96,1.96,0,1.96,3.92,0,0,0
