stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,4,4,4,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,4.1,0,0.82,0,0,5.75,0,11.49,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,7.25,0,0,0,0,1.61,0,10.47,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,14.92,0,0.57,0,0,1.15,0,8.03,0
 60-70,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0.98,11.78,0,1.96,0,0,0,0,6.87,0
 72-82,0,0,0,0.98,0,0,0.98,3.93,0,0,0,0,0,6.87,27.49,0.98,1.96,0,0,0.98,0,11.78,1.96
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,3.19,25.49,0,1.06,0,0,10.62,0,12.74,0
 96-106,0,0,0,0,1.09,1.09,1.09,3.28,2.19,6.56,1.09,0,1.09,6.56,31.69,0,2.19,1.09,0,2.19,0,9.84,0
108-118,0,0,0.77,0,0,0.77,0,0,0,5.36,0,0.77,0,3.83,12.26,0,2.3,0.77,0,5.36,0,3.06,0.77
120,0,0,1.96,0,0,0,0,1.96,0,13.72,1.96,1.96,0,7.84,5.88,0,0,1.96,0,1.96,0,0,0
