stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1620.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1348.52,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,49.04,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,18.4,23.66,0,0,70.98,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,528.37,31.54,0,0,189.27,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,22.03,0,6.29,44.06,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,427.99,0,0,0,100.7,0,0,0,0,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,4,38,13,24,0,0,0,1,3,0,0,0,1,0,0,0,0,21,0,0,11,264,3,3,1,4,0,5,0,37,2,0,37,63,0,0,1,0,0
 24-34,0,0,4.93,13.13,3.28,41.04,0,0.82,0.82,4.93,0,0,0.82,0,1.64,0,1.64,0,0,23.8,0,0,11.49,302.9,0.82,2.46,4.1,0,0,6.57,0,0,1.64,0,11.49,75.52,0,0,1.64,0,0.82
 36-46,0,0,0,3.22,2.42,61.23,0.81,0.81,0,10.47,0,0,1.61,0,0,0,0,1.61,0,31.42,0,1.61,7.25,247.34,0,0.81,0.81,0,0,6.45,0,0,0.81,0,0,56.4,0,0,2.42,0,0
 48-58,0,0,0,4.02,1.15,70.58,0,0,0.57,15.49,0,0,1.72,0.57,0,0.57,0.57,0.57,0.57,26.97,0,1.15,6.89,168.7,0,0,1.72,0,0,2.87,0,0,0,0,0,28.69,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,76.56,0,0.98,0.98,13.74,1.96,0,0.98,0.98,0,0,0,0.98,0,23.56,0.98,0.98,1.96,126.62,0,0,0.98,0,0,8.83,0,0,0,0,0,19.63,0,0,2.94,0,0
 72-82,0,0,0,1.96,1.96,49.08,0.98,0,3.93,8.83,0.98,0.98,1.96,1.96,0,0.98,0,0,0,34.36,0.98,1.96,9.82,102.09,0.98,0.98,1.96,0,0,7.85,0,0,0,0,0,3.93,0,0.98,2.94,0,0.98
 84-94,0,0,0,8.5,5.31,36.11,1.06,1.06,5.31,14.87,1.06,0,0,2.12,0,3.19,0,1.06,1.06,29.74,2.12,2.12,4.25,42.48,1.06,2.12,2.12,0,1.06,35.05,0,0,1.06,0,0,4.25,0,0,1.06,2.12,0
 96-106,0,0,0,12.02,0,22.95,2.19,2.19,0,10.93,0,0,1.09,3.28,0,1.09,1.09,0,0,25.14,0,0,1.09,49.18,0,1.09,1.09,0,0,14.21,0,0,2.19,0,0,5.46,0,0,1.09,3.28,0
108-118,0,0,0,14.55,1.53,20.68,0,1.53,1.53,17.62,2.3,0,0,4.6,0.77,0.77,0.77,0.77,0,20.68,0.77,1.53,6.13,53.62,2.3,0,2.3,0,0.77,13.79,0,0,0,0.77,0,3.06,0.77,0.77,5.36,1.53,0
120,0,0,0,33.32,3.92,19.6,0,7.84,1.96,17.64,1.96,0,0,1.96,1.96,0,0,0,0,33.32,1.96,1.96,1.96,52.91,0,0,0,0,0,21.56,0,0,3.92,1.96,0,0,0,1.96,5.88,1.96,0
