stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.19,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,144,1,1,1,3,0,0,0,0,0
 24-34,0,1.64,6.57,0,3.28,0,0,0,0,0,0,0.82,1.64,0,0.82,0.82,0,11.49,0.82,0,4.1,20.52,0,0.82,1.64,0,328.34,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,1.61,0,4.03,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0,5.64,0.81,0,0,16.92,1.61,0,0,0,288.43,0,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,4.59,0,4.59,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0.57,1.72,0,0.57,13.2,0,3.44,0,0,165.26,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,7.85,0,2.94,0,0.98,0,0,0,0,0,0,0,0,0,0.98,5.89,0.98,0,0,7.85,0,0.98,0,0,155.08,0,0,0,1.96,0.98,0,0,0,0
 72-82,0,0,22.58,0,4.91,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0.98,1.96,3.93,0.98,0,6.87,0,0,1.96,0,165.9,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,36.11,0,2.12,0,5.31,0,1.06,0,0,0,1.06,0,0,0,0,1.06,5.31,0,1.06,4.25,0,0,0,0,450.3,0,0,0,0,0,0,0,0,0
 96-106,0,0,64.48,0,2.19,1.09,10.93,0,0,0,0,0,2.19,0,0,0,0,6.56,4.37,0,0,10.93,0,0,2.19,0,367.2,0,0,0,1.09,0,0,0,0,0
108-118,0,0,49.02,0.77,1.53,0,9.19,0,0.77,2.3,0,0,8.43,0.77,0,0,0,0,3.83,0,1.53,9.96,0,3.06,0.77,0,294.13,0,0,0,0,1.53,0,0,0,0
120,0,0,17.64,0,1.96,0,17.64,0,0,5.88,0,0,7.84,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,217.54,0,0,0,0,1.96,1.96,0,0,0
