stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,2767.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,220.67,2684.78,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,18.39,0,0,55.17,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,97.26,57.83,0,160.35,0,0,0,262.87,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0,2510.42,78.86,0,0,1219.72,10.51,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,103.85,0,160.5,0,15.73,0,264.35,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,2375.96,56.65,0,0,1069.97,15.73,18.88,12.59,119.58,0,6.29,9.44,0,0,0,0,0
 14-21,1,0,0,17,188,34,0,118,0,0,30,4,1,1,3,4,1,1,1,1,103,0,0,111,1290,35,12,14,46,51,1,228,8,0,130,408,0,0,7,0,0
 24-34,0.82,0,0,3.28,78.8,9.85,0,266.78,1.64,0,36.94,3.28,0.82,2.46,6.57,1.64,2.46,3.28,3.28,0,242.15,1.64,0.82,96.86,1869.09,28.73,22.16,18.88,0,111.64,0,0,4.1,0,15.6,493.33,0,0,26.27,0,7.39
 36-46,0,0,0,0,33.84,1.61,0,525.3,0.81,0,28.2,2.42,0,1.61,5.64,0.81,3.22,0.81,0.81,0,203.83,1.61,5.64,60.43,1303.57,9.67,12.09,5.64,0,34.64,0,0,3.22,0,0,331.13,0,0,13.7,0.81,4.83
 48-58,0,0,0,0,37.87,3.44,0,616.27,2.3,1.15,40.74,3.44,0,3.44,2.87,0,5.74,1.72,1.15,0.57,212.31,1.15,9.18,45.9,636.35,2.87,4.59,7.46,0,16.07,0,0,1.15,0,0,114.76,0,0,13.2,0,2.3
 60-70,0,0,0.98,0,37.3,2.94,0,482.91,5.89,0,58.89,6.87,0,0,3.93,0,5.89,2.94,1.96,0.98,162.93,0,10.8,21.59,320.96,1.96,2.94,3.93,0,13.74,0,0,0.98,0,0,21.59,0,0,7.85,0,0
 72-82,0,0,0.98,0,35.34,2.94,0,171.79,0,0,65.77,13.74,0,2.94,6.87,2.94,3.93,0,2.94,0,165.9,0.98,5.89,32.39,225.78,0,2.94,4.91,0,4.91,0,0,0.98,0,0,8.83,0.98,0,12.76,0.98,0
 84-94,0,0,2.12,3.19,36.11,3.19,0,159.31,0,1.06,32.92,21.24,0,3.19,7.43,2.12,6.37,1.06,6.37,0,122.13,0,15.93,21.24,151.87,5.31,5.31,7.43,0,9.56,0,0,7.43,0,0,8.5,1.06,1.06,20.18,1.06,1.06
 96-106,0,0,0,0,29.51,5.46,2.19,112.56,2.19,0,32.79,24.04,0,3.28,12.02,2.19,2.19,2.19,4.37,1.09,60.11,1.09,7.65,21.86,167.21,3.28,2.19,6.56,0,14.21,0,0,1.09,0,0,1.09,1.09,0,17.49,0,1.09
108-118,0,0,0,0.77,22.21,14.55,0.77,99.58,2.3,1.53,40.6,15.32,0,0,13.79,0.77,4.6,1.53,7.66,0.77,58.98,0,6.13,14.55,215.24,2.3,2.3,3.83,0,7.66,0,0,5.36,0.77,0,2.3,2.3,0,15.32,0,0
120,0,0,0,0,9.8,21.56,0,94.07,0,1.96,35.28,7.84,0,0,11.76,1.96,0,0,1.96,0,56.83,0,0,9.8,143.06,1.96,0,5.88,0,7.84,0,0,1.96,0,0,3.92,0,0,13.72,0,0
