stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,1.64,0,0.82,0,0,0,0.82,0,8.21,0,0,0,0.82,3.28,0,0.82
 36-46,0,0,0.81,0,2.42,0,0,0,1.61,0,4.83,0,0,0.81,0,2.42,0,0
 48-58,0,0,1.72,0,0,0,0,0,0,0,9.18,0,0.57,0,0,1.15,0,0
 60-70,0,0,3.93,0,0.98,0,0,0.98,1.96,0,13.74,0,0,0.98,0,1.96,0,0
 72-82,0,0,1.96,0.98,0.98,0,0,0,1.96,0,10.8,0,0,0,0,1.96,0,0.98
 84-94,0,0,7.43,0,2.12,0,0,0,1.06,0,5.31,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,3.28,0,2.19,0,0,0,2.19,0,2.19,0,0,0,0,1.09,0,0
108-118,0,1.53,3.06,0,1.53,0.77,0.77,0,3.06,0.77,6.89,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0
