stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,751.14,2042.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,527.15,1795.98,24.52,0,0,0,0,42.91,0,0,0,0,245.19,30.65,0,165.5,6.13,0,0,0,0,0,0,0
  7-9,281.27,34.17,52.57,0,0,81.49,0,475.8,0,0,0,0,360.13,281.27,0,1501,0,5.26,0,0,0,0,0,0
 10-12,3.15,9.44,47.2,0,0,198.26,0,151.05,0,0,0,0,566.45,103.85,0,166.79,0,0,3.15,6.29,0,0,0,0
 14-21,0,0,0,9,2,0,0,0,2,0,6,5,27,174,1,4,0,0,18,1,3,5,0,0
 24-34,0,0,0,0,0.82,1.64,0,0,0,0,0.82,0.82,13.95,64.85,0,0,0,0,0,0,0.82,1.64,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,14.5,12.09,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.15,0.57,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0.77,0,3.06,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
