stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,41,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,73.88,0,0.82,0.82,0,1.64,0,0,0,0,0,0,0.82,0.82,18.06,0,0,0,2.46,0,0,6.57,0,2.46,0
 36-46,0,0,0,0,21.75,0,0,0,0,2.42,1.61,0,0,0,0,0,2.42,1.61,12.89,0,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,28.69,0,2.3,0,1.15,0.57,0.57,0,0,0,0,0,2.3,0,12.62,0,0,0,0,0,0,18.36,1.72,0.57,0
 60-70,0,0,0.98,0,6.87,0,6.87,0,1.96,2.94,0,1.96,0,0,0,0,0,0,38.28,0,0,0,0,0,0,13.74,1.96,0,0
 72-82,0,0,0.98,0,15.71,0,36.32,0,8.83,7.85,2.94,0.98,0.98,0,0,0,2.94,1.96,81.48,0,0.98,0.98,0,0,0.98,6.87,8.83,2.94,0
 84-94,0,0,1.06,2.12,14.87,0,56.29,0,5.31,10.62,0,1.06,1.06,0,0,0,2.12,0,44.61,0,1.06,0,2.12,0,0,10.62,1.06,1.06,0
 96-106,0,0,3.28,1.09,38.25,1.09,95.08,0,8.74,16.39,0,1.09,0,1.09,1.09,1.09,4.37,0,54.64,1.09,0,0,9.84,0,2.19,15.3,8.74,7.65,1.09
108-118,0,0,0,2.3,26.81,0,84.26,0,10.72,9.96,0,1.53,1.53,0,0,0,5.36,0.77,75.83,0.77,0,0,3.83,0,0,10.72,9.19,6.89,1.53
120,0,0,0,7.84,41.16,0,31.36,1.96,1.96,31.36,1.96,1.96,1.96,0,0,0,7.84,0,86.23,1.96,0,0,3.92,1.96,1.96,3.92,7.84,13.72,0
