stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,39.43,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,261.2,100.7,0,0,352.46,0,0,6.29,9.44,0,9.44,0,0,0,0,0
 14-21,0,0,3,5,102,12,0,9,0,0,0,37,30,0,1,0,1,0,11,0,0,14,0,0,8,781,60,9,30,11,2,1,331,31,0,209,518,0,0,1,0
 24-34,0,0,3.28,9.03,48.43,0,0,15.6,0,0.82,0.82,86.19,0,0,0.82,0,8.21,0.82,61.56,0,0.82,24.63,0.82,0,10.67,1132.78,3.28,32.01,32.01,0,0,0,0,11.49,0,42.68,554.08,0,0,4.1,2.46
 36-46,0,0,2.42,0.81,12.09,0,0,14.5,0,0,0.81,102.32,3.22,0,0,0,4.83,1.61,46.73,0.81,1.61,8.86,0.81,0,1.61,584.11,0.81,33.03,20.95,0,2.42,0,0,6.45,1.61,0,398,0,0,2.42,2.42
 48-58,0,0,1.15,1.15,5.74,0,0,14.92,0.57,1.15,0.57,93.53,2.87,7.46,0,0,4.02,4.02,41.89,0.57,0.57,7.46,0,0,1.72,151.48,0,21.8,20.08,0,1.15,0,0,2.3,0,0,172.72,0,0.57,0.57,0.57
 60-70,0,0,1.96,0,7.85,0,0,23.56,0,0,0,67.73,4.91,2.94,0,0,3.93,5.89,47.11,0,0,8.83,1.96,0,1.96,60.85,0,22.58,18.65,0,0,0,0,0.98,0,0,60.85,4.91,0,0.98,0
 72-82,0,0,7.85,0,2.94,0,0,41.23,0,0,0,72.64,16.69,1.96,0.98,0,10.8,5.89,74.61,0,0,6.87,0.98,0.98,0,45.16,0,42.21,45.16,0,0.98,0,0,2.94,0,0,8.83,13.74,0,1.96,0
 84-94,0,0,10.62,0,10.62,0,0,37.17,1.06,0,0,33.99,39.3,4.25,0,0,18.05,10.62,97.71,2.12,0,7.43,0,1.06,0,40.36,0,76.47,29.74,0,0,0,0,2.12,0,0,10.62,84.96,1.06,3.19,1.06
 96-106,0,0,13.11,0,18.58,4.37,1.09,50.27,1.09,0,0,39.34,46.99,0,1.09,3.28,12.02,10.93,122.4,0,0,8.74,0,0,0,59.01,1.09,98.36,30.6,0,3.28,0,0,2.19,0,0,2.19,158.46,0,5.46,0
108-118,0,0,4.6,0.77,5.36,0.77,0,48.26,0.77,0,0,22.98,68.17,0,0,0,19.15,18.38,100.34,1.53,0,9.96,2.3,0.77,0,48.26,0.77,72,42.89,0,3.06,0,0,3.06,0,0,1.53,173.87,0,2.3,0.77
120,0,0,3.92,0,13.72,0,0,13.72,3.92,1.96,0,23.52,60.75,0,0,0,13.72,5.88,35.28,3.92,0,13.72,0,0,1.96,43.12,0,47.03,29.4,0,3.92,1.96,0,3.92,0,0,0,62.71,0,0,0
