stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10,2422,3,0,92,0,10,0,37,2,1,0,0,15,0,8,0,0,41,8,0,25,1755,9,1,75,20,0,5,1,9,3,2,22,409,0,0,1,0,0
 24-34,0,9.03,1527.61,0,0,125.59,0.82,81.26,3.28,61.56,0,0,0.82,0.82,4.1,0,26.27,1.64,0.82,58.28,24.63,0,42.68,1624.47,2.46,39.4,68.13,0,0,11.49,0,0,0,3.28,3.28,526.99,0,0,10.67,0,0
 36-46,0,1.61,852.4,0,0,128.1,0,119.24,3.22,66.06,0,0,0,0,1.61,0.81,14.5,2.42,1.61,76.54,12.09,0,49.15,919.27,0.81,27.39,48.34,0,0,8.86,0.81,0,0.81,2.42,0,377.05,0,0,5.64,0,1.61
 48-58,0,2.87,618.56,0,0,202.55,0,113.61,4.02,60.82,1.72,0.57,0,0.57,2.3,0.57,15.49,0.57,0.57,110.74,8.03,1.15,19.51,313.3,0,17.79,31.56,0,0,2.3,0,0,0,0,0,122.22,0,0,1.72,0,0
 60-70,0,0.98,600.69,0.98,0,143.3,0.98,86.37,2.94,72.63,10.8,0,0,0,3.93,0,19.63,1.96,1.96,126.62,9.82,0,9.82,147.23,0.98,19.63,23.56,0,0.98,3.93,0,0,0,0.98,0,17.67,1.96,1.96,0,0,0.98
 72-82,0,1.96,547.77,0.98,0,97.18,1.96,60.86,2.94,84.42,23.56,0,0,0,5.89,1.96,28.47,0,0,94.24,4.91,1.96,4.91,86.39,0,18.65,36.32,0,0.98,5.89,0,0,0,0,0,9.82,30.43,0.98,0.98,0.98,3.93
 84-94,0,2.12,955.83,1.06,1.06,84.96,1.06,113.64,1.06,40.36,59.47,0,1.06,0,21.24,1.06,57.35,0,0,67.97,10.62,1.06,7.43,57.35,0,62.66,39.3,0,1.06,5.31,0,0,0,0,0,0,126.38,1.06,0,0,0
 96-106,0,1.09,871,4.37,1.09,74.31,0,97.26,1.09,44.81,72.13,0,0,0,26.23,1.09,79.78,1.09,0,50.27,12.02,3.28,2.19,109.28,0,83.06,41.53,0,2.19,12.02,0,0,0,1.09,0,4.37,184.69,2.19,1.09,0,0
108-118,1.53,5.36,785.11,2.3,2.3,65.87,0,100.34,2.3,37.53,67.4,0,0,1.53,18.38,0,86.55,1.53,0,33.7,6.13,3.83,1.53,148.6,1.53,66.64,67.4,0,1.53,3.83,0,0,2.3,0,0,3.83,222.9,1.53,0.77,0,0.77
120,1.96,1.96,433.11,1.96,0,50.95,1.96,47.03,0,9.8,23.52,0,0,1.96,9.8,0,27.44,0,0,23.52,9.8,0,1.96,135.23,1.96,25.48,35.28,0,1.96,1.96,0,0,0,0,0,0,64.67,3.92,0,0,0
