stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,12,14,3,0,1,18,0,0,97,0,0,8,40,0,1,0,0,0,0,3,1,1,3,0,0,0
 24-34,0,0.82,0.82,4.1,0,0,0,4.1,0,0,33.66,0,0.82,2.46,21.34,0,0,0,0,0,0,0,0.82,3.28,0.82,0,1.64,0
 36-46,0,0,0.81,3.22,2.42,0,0,8.06,0,0,16.11,0,1.61,1.61,2.42,0.81,0,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,1.15,0,0,10.9,0.57,11.48,1.15,3.44,0,0,0,0,2.3,0,0,0,0,2.3,2.87,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,1.96,0,4.91,0,4.91,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0.98
 72-82,0,0,1.96,0,0.98,0,0.98,3.93,0,0,3.93,0,8.83,2.94,0,0,0,0,0,0,0.98,0,0,0,0.98,9.82,0,1.96
 84-94,0,0,0,0,4.25,1.06,1.06,4.25,0,0,1.06,0,9.56,5.31,1.06,0,0,0,0,1.06,0,0,0,0,0,5.31,0,4.25
 96-106,0,0,0,0,1.09,3.28,0,10.93,2.19,1.09,3.28,0,3.28,5.46,3.28,0,0,1.09,0,1.09,1.09,0,0,0,0,3.28,0,4.37
108-118,0,0,1.53,0,0,0.77,0,4.6,0,0,0.77,0,1.53,4.6,2.3,0,0,0,0,1.53,0,0,0,0,0,3.06,0,0
120,0,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,3.92,5.88,0,0,0,0,0,0,0,0,0,0,7.84,0,3.92
