stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,1,6,1,0,1,1,2,4,0
 24-34,0,0,0,3.28,0.82,0,0,0,0.82,0,0,0.82,0.82,8.21,0,0.82,0,0.82,0,2.46,0
 36-46,0,0,0,0,1.61,0.81,0,0,1.61,0,0,3.22,0,8.06,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,4.02,0,0.57,0,0.57,0,0,1.15,0,8.03,0,0,0,0.57,0,1.72,0
 60-70,0,0,0,0,1.96,0,0,0.98,1.96,0,0,0,0,3.93,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,2.94,0,0,0,1.96,3.93,0,2.94,0,1.96,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,0,1.06,3.19,0,1.06,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,10.93,0,0,0,7.65,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,2.3,0,0.77,0,2.3,8.43,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,11.76,0,0,0,1.96,0,0,0,0,0,0,0
