stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,0,0,0,0,1,3,7,0,1,0
 24-34,0,0,0.82,0.82,11.49,0,0,0,1.64,0,0,0,0.82,0.82,0,2.46,0.82,0,0,89.47,0.82,0.82,0,0,2.46,0,0.82,11.49,0,1.64,0
 36-46,0,0,1.61,0,13.7,0,0,0,2.42,0,0,0,0,0,0,7.25,0,0,1.61,76.54,0.81,0,0,0,1.61,0,0.81,20.95,0,0.81,0
 48-58,0,0,1.72,0,28.69,0,0.57,1.15,4.59,0,0.57,0.57,0.57,0,0.57,4.59,0,0.57,0,56.81,0,1.15,0,0,0.57,0,0,8.61,0,0,0.57
 60-70,0,0,0,0.98,39.26,0,0,0.98,5.89,0,0,0,0,0,0,17.67,0.98,0,0,68.71,0.98,0.98,0,0,1.96,0,0,6.87,0,0.98,0.98
 72-82,0,0,2.94,0.98,23.56,1.96,0.98,0,0.98,0,0,0,0,0,0,8.83,0,0,0.98,38.28,0.98,1.96,0,0,1.96,0,0,3.93,0,1.96,0
 84-94,0,0,0,2.12,16.99,0,0,0,8.5,1.06,0,2.12,0,4.25,0,10.62,1.06,0,1.06,21.24,0,1.06,0,1.06,2.12,0,0,2.12,0,1.06,0
 96-106,0,0,3.28,0,8.74,0,1.09,0,3.28,0,0,1.09,0,0,0,7.65,0,0,0,10.93,0,1.09,0,1.09,4.37,0,0,1.09,0,0,0
108-118,0,0,6.89,1.53,12.26,0,0.77,0,0.77,2.3,0,0,0.77,0,0,2.3,0,0.77,0.77,25.28,0,1.53,0,0,4.6,0,0,0.77,0.77,0.77,0
120,0,0,5.88,1.96,17.64,0,1.96,1.96,1.96,3.92,0,1.96,0,0,1.96,9.8,0,0,1.96,25.48,1.96,0,0,0,5.88,0,0,1.96,0,3.92,0
