stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,2082.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1336.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.72,5.26,0,0,31.54,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,125,17,0,74,0,0,0,27,8,1,1,0,1,0,1,1,0,56,1,0,54,622,13,1,7,9,0,2,0,31,8,1,65,205,0,0,3,0,0
 24-34,0,0,4.93,115.74,2.46,0,98.5,0,3.28,5.75,18.88,0.82,0,4.93,0,0,0,5.75,4.1,3.28,135.44,0,0.82,68.95,966.15,9.03,4.93,14.78,0,0,1.64,0,0,14.78,0,22.16,305.36,0,0,16.42,0,0
 36-46,0,0,0.81,37.87,0.81,0,116.02,0,2.42,7.25,57.2,3.22,0.81,8.06,0,0.81,0,4.83,0.81,12.89,236.87,0,1.61,65.26,821.78,8.86,0.81,17.72,0,0.81,0,0.81,0,8.86,0,0,273.12,0,0.81,11.28,0,4.03
 48-58,0,0,0,34.43,0,0,95.25,0,6.89,7.46,74.59,1.72,0,6.89,0,1.15,1.15,4.59,0,20.66,349.45,0.57,4.02,55.09,340.27,8.61,0.57,11.48,0,0,0,0,0,1.15,0,0,150.91,0,1.72,9.18,0.57,8.03
 60-70,0,0,0,29.45,0,0,63.8,0,7.85,15.7,136.43,9.82,0,3.93,0,2.94,4.91,9.82,0.98,9.82,512.35,0,13.74,53.98,203.18,7.85,0,19.63,0,1.96,1.96,0,0,2.94,0,0,56.93,0,12.76,11.78,2.94,10.8
 72-82,0,0,0,27.49,0.98,0,75.59,0.98,4.91,11.78,186.52,6.87,0,9.82,6.87,10.8,7.85,22.58,0.98,11.78,651.82,0.98,27.49,75.59,145.29,3.93,0.98,17.67,0,1.96,0.98,0,0,2.94,0,0,32.39,0.98,19.63,18.65,13.74,5.89
 84-94,0,0,1.06,52.04,1.06,0,101.96,0,14.87,19.12,112.58,28.68,0,5.31,2.12,18.05,19.12,13.81,1.06,24.43,428,1.06,16.99,37.17,117.89,8.5,1.06,18.05,0,2.12,1.06,1.06,0,6.37,0,0,19.12,1.06,14.87,12.74,15.93,9.56
 96-106,0,0,0,33.88,0,1.09,55.74,0,7.65,15.3,93.98,18.58,0,14.21,1.09,21.86,8.74,17.49,2.19,14.21,379.22,1.09,21.86,25.14,110.38,5.46,3.28,18.58,0,4.37,2.19,0,0,4.37,0,0,18.58,1.09,5.46,16.39,14.21,3.28
108-118,0,0,0.77,46.72,0,1.53,69.7,0,5.36,9.19,85.02,9.96,0,6.89,3.06,13.02,15.32,13.02,1.53,13.02,327.83,0.77,13.02,19.92,104.17,8.43,1.53,22.98,0,3.83,2.3,0,0,11.49,0,0,13.02,0.77,9.96,9.96,9.96,3.83
120,1.96,0,0,43.12,0,0,62.71,0,7.84,9.8,56.83,11.76,0,5.88,0,9.8,9.8,3.92,5.88,5.88,274.37,0,15.68,21.56,117.59,15.68,0,13.72,0,5.88,0,0,0,3.92,0,0,9.8,1.96,13.72,7.84,15.68,1.96
