stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0.81,1.61
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,2.3,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
