stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,28.92,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,45,0,1,0,0,0,3,2,15,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0.82,0.82,0.82,0,0,1.64,1.64,0.82,56.64,0,0.82,0,0,0.82,0,0,9.85,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,3.22,0,38.67,0.81,0,1.61,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,7.46,0.57,0,0.57,0.57,0,0,0,2.3,0.57,47.05,0,0.57,0,0,0,0,0,2.87,0,0,0.57
 60-70,0,0,0,0,0,12.76,0,0,0,0,0,0,0,2.94,0.98,22.58,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,23.56,0,0.98,0.98,0,0,0,0,2.94,0,38.28,0,0.98,0,0,3.93,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,4.25,1.06,0,0,2.12,0,0,0,1.06,0,10.62,0,1.06,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.65,0,0,0,2.19,0,0,0,0,0,10.93,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,4.6,0,0,0,0.77,0.77,1.53,0,1.53,0.77,18.38,0,0.77,0,0,0,0,0,0.77,1.53,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0
