stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,4137.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0
  5-6,337.13,4284.61,12.26,0,0,0,0,0,0,30.65,0,0,0,0,0,288.09,18.39,85.81,49.04,0,0,0,0,0,0,0,0
  7-9,70.98,52.57,110.41,0,0,228.7,0,0,0,78.86,0,0,0,0,0,1816.44,78.86,733.41,15.77,10.51,0,2.63,0,0,0,0,0
 10-12,3.15,56.65,125.88,0,12.59,207.7,0,0,0,59.79,0,3.15,0,0,0,1831.54,91.26,796.18,6.29,6.29,6.29,75.53,6.29,3.15,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,2.46,0,0.82,1.64,0,0,0,0,0,0,0,1.64,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,3.44,0,0,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,3.93,0,0.98,0,0,0,0,1.96,0,0,2.94,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,0,1.06,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
