stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,immune,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,5.75,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,5.64,3.22,0.81,0
 48-58,0,0.57,0,0,0.57,0,0,0,0,1.72,0,0,4.59,0,0,10.9,10.33,0.57,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,6.87,0,0,5.89,12.76,0.98,0
 72-82,0,2.94,0.98,0,2.94,0,0,0,0,0.98,1.96,0.98,4.91,0,0,9.82,45.16,0.98,0
 84-94,0,14.87,1.06,0,3.19,0,2.12,0,0,4.25,1.06,0,4.25,0,0,33.99,92.4,0,0
 96-106,0,19.67,0,1.09,3.28,1.09,1.09,0,1.09,1.09,3.28,0,5.46,1.09,0,4.37,103.82,0,0
108-118,0,19.92,0,0,3.06,0,0.77,0,0.77,2.3,0.77,0,8.43,0,0,12.26,103.41,0,0.77
120,0,11.76,0,1.96,1.96,0,5.88,1.96,7.84,3.92,0,0,15.68,0,1.96,7.84,45.08,0,0
