stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,1,0,0,1,1,7,0,0,0,1,6,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0.82,0,0,18.88,0,1.64,0.82,0,1.64,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,0.81,0.81,24.17,1.61,0,0.81,0,5.64,0,0.81
 48-58,0,0,0.57,5.16,0.57,0,0,0,0.57,0,0,0.57,18.94,0,0,1.15,0,1.72,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,0,0,5.89,0,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,2.94,0,0,0,0,1.96,0,4.91,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,0,3.19,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,2.19,0,1.09,0,0,0,0,1.09,0,6.56,0,0,2.19,0,0,0,0
108-118,0,0,0.77,1.53,0,0.77,0,0,0,0,0,0,8.43,0.77,0,0,0,0,0,0
120,0,0,1.96,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
