stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,698.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,28.92,0,31.54,0,0,70.98,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,620.38,34.17,0,0,252.36,0,7.89,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,9.44,0,6.29,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.54,25.18,0,0,226.58,0,0,0,0,25.18,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,26,9,28,0,0,0,9,1,2,0,0,4,0,0,0,17,0,0,9,255,14,0,0,5,0,7,0,37,1,0,17,83,0,0,2,0,0
 24-34,0,0,0,0.82,11.49,2.46,59.92,0,0,1.64,9.03,0.82,0,0.82,0.82,0.82,0,0,0.82,25.45,0,0.82,17.24,496.62,2.46,3.28,3.28,0,0,16.42,0,0,0.82,0,1.64,107.53,0,0,6.57,0,2.46
 36-46,0,0,0,0,1.61,4.03,140.19,0,0,0.81,15.31,0.81,0,1.61,0.81,0.81,0.81,0.81,0,31.42,0.81,0.81,11.28,405.25,0.81,8.06,1.61,0,0,5.64,0.81,0,3.22,0.81,0,103.13,0,0.81,1.61,0,0
 48-58,0.57,0,0,0,4.02,1.15,135.42,0,0.57,1.15,10.9,0.57,0,0,1.72,0,0.57,0,0,35,0,1.15,8.61,133.7,2.3,1.72,0.57,0,0,3.44,0,0,0,0,0,31.56,0,0,1.15,0,1.15
 60-70,0,0,0,0,4.91,2.94,123.67,0,3.93,0,23.56,1.96,0,0,0,0,0,0,0,41.22,0,0.98,8.83,131.52,0.98,1.96,1.96,0,0,4.91,0,0,1.96,0,0,21.59,0,0,1.96,0.98,0
 72-82,0,0,0,0,5.89,1.96,49.08,0,0.98,2.94,7.85,0.98,0,0.98,0.98,0,0,0.98,0.98,38.28,1.96,3.93,1.96,95.22,0.98,1.96,1.96,0,0,2.94,0,0,0,0,0,6.87,0,1.96,5.89,0.98,0
 84-94,0,0,1.06,0,11.68,7.43,56.29,1.06,0,2.12,10.62,2.12,0,0,0,0,1.06,1.06,0,31.86,1.06,1.06,6.37,67.97,2.12,1.06,1.06,0,1.06,14.87,0,0,1.06,0,0,2.12,0,0,3.19,0,0
 96-106,0,0,0,0,7.65,7.65,26.23,0,2.19,1.09,13.11,3.28,0,2.19,3.28,1.09,0,2.19,0,27.32,1.09,1.09,4.37,41.53,1.09,2.19,2.19,0,0,9.84,0,0,0,0,0,3.28,1.09,1.09,2.19,1.09,1.09
108-118,0,0,0,0,4.6,3.06,21.45,0,0,0.77,12.26,5.36,0,0,3.06,1.53,0.77,1.53,0,16.09,0.77,1.53,4.6,56.68,3.06,0.77,0.77,0,0,14.55,0,0,0.77,0,0,2.3,0.77,0,4.6,1.53,0
120,0,0,0,0,5.88,5.88,23.52,0,3.92,0,19.6,0,0,0,0,1.96,0,0,1.96,17.64,1.96,0,9.8,78.39,5.88,0,0,0,0,27.44,1.96,0,0,0,0,0,0,0,3.92,0,0
