stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,355.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,13.14,0,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.24,5.26,0,0,152.47,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.9,0,0,0,78.67,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,20,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,91.94,0,0.82,0,0,1.64,28.73,0,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,314.21,0,2.42,0,0,0,42.7,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,28.12,0.57,0,0,4.59,0,0,0,0,0,0,0,0,1.15,1.15,0,0.57,0,417.73,0,1.15,0.57,0,0.57,60.25,0,0,0
 60-70,0,0,0.98,0,2.94,0,114.84,0,0,0,1.96,0,0,0,0,0,0,0,0,0,4.91,0,0,0,623.27,0,3.93,2.94,0,0,63.8,0,0,0
 72-82,0,0,0,0,2.94,0.98,128.6,0,0,0,9.82,0.98,0,0.98,0,0,0,0,0,0,7.85,0,0.98,0,512.43,0,4.91,0.98,0,0.98,51.05,0,0,1.96
 84-94,0,0,0,0,4.25,1.06,88.15,0,0,2.12,8.5,1.06,0,0,1.06,0,0,1.06,0,1.06,8.5,0,1.06,1.06,212.41,0,4.25,1.06,0,1.06,16.99,0,1.06,1.06
 96-106,0,0,1.09,0,1.09,0,64.48,0,0,0,6.56,0,0,0,0,0,1.09,2.19,0,0,12.02,0,0,1.09,197.81,0,5.46,5.46,0,6.56,7.65,1.09,1.09,1.09
108-118,0,0,0.77,0,3.06,0.77,50.55,0,0.77,0,6.13,0,0,0,0,0,0,3.83,0,1.53,3.83,0.77,0,0,206.04,0,3.83,1.53,0,0,5.36,0.77,0,0
120,0,0,0,0,3.92,0,39.2,0,0,0,5.88,1.96,0,0,0,1.96,0,3.92,0,0,9.8,0,0,0,282.21,0,0,9.8,0,0,7.84,0,0,0
