stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,105.42,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0
  5-6,30.65,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,484.24,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,2.63,0,26.29,76.23,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0.57,4.59,0,0,0,0.57,0.57,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,0,6.87,0,1.96,0,0.98,0,10.8,0,0,3.93,0,1.96,1.96,0,0.98,0,5.89,0,0,0,0,0,0,0,2.94,0,1.96
 72-82,0,0,0.98,0,19.63,0.98,3.93,0,0.98,0,45.16,0,3.93,14.72,0.98,3.93,0.98,0.98,0.98,0,5.89,0,0,0,0,0,0,0,1.96,0.98,0.98
 84-94,0,0,1.06,0,41.42,0,2.12,0,2.12,0,81.78,0,2.12,15.93,0,4.25,0,1.06,4.25,0,2.12,0,0,0,1.06,0,0,0,11.68,0,1.06
 96-106,0,0,2.19,1.09,126.77,1.09,3.28,0,1.09,1.09,118.03,0,4.37,20.76,2.19,15.3,1.09,0,1.09,1.09,15.3,0,1.09,0,1.09,0,0,0,38.25,0,2.19
108-118,0,0,2.3,4.6,121.02,0,3.06,0.77,3.06,2.3,121.79,0,5.36,22.21,7.66,7.66,0.77,0.77,1.53,0.77,16.85,0,0,0,1.53,0.77,0,1.53,37.53,0,0
120,0,0,0,1.96,97.99,1.96,3.92,0,0,0,74.47,0,5.88,11.76,0,1.96,0,0,0,0,7.84,0,0,0,1.96,0,0,0,9.8,0,0
