stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,63,7,0,4,0,2,0,1,3,1,0,0,0,0,0,0,0,6,0,0,3,18,287,0,2,6,0,1,0,1,1,0,15,42,0,1,0,0
 24-34,0,0,0,0,116.56,0,0,27.91,0,40.22,16.42,1.64,0.82,0,0.82,0,0,0,0,0,0,37.76,0,0,32.83,37.76,178.95,0,4.1,0,0,1.64,0,0,0.82,0.82,17.24,35.3,0,3.28,0,0
 36-46,0,0,0,0,47.53,0,0,13.7,0,66.06,61.23,2.42,0,0,0,0.81,0,0,0,0,0.81,49.95,0,0,22.56,27.39,114.41,0,1.61,0,0,1.61,0,0,0,0,0.81,15.31,0,9.67,0,0
 48-58,1.15,0,0,0,25.82,0,0,17.21,0,63.69,75.17,8.61,0,0,0,0,0,0,0.57,0,0,96.97,1.15,0,13.2,36.15,88.37,0,9.18,0,0,0.57,0,0,0,0,0,9.75,0.57,2.3,0,0
 60-70,0,0,0,0,32.39,0,0,14.72,0.98,72.63,77.54,17.67,0,0,0.98,0,0,0,0,1.96,0,214.95,0.98,0,6.87,20.61,63.8,0,18.65,0,0,2.94,0,0,0,0,0,3.93,0,1.96,0,0
 72-82,0,0,0.98,0,27.49,1.96,0,51.05,0,79.51,133.51,35.34,0.98,0,0,0,0,1.96,0.98,0.98,0,324.93,0,0.98,12.76,32.39,56.94,0,35.34,0,0.98,8.83,0,0,0.98,0,0,7.85,0.98,3.93,3.93,1.96
 84-94,1.06,0,0,0,54.16,0,0,52.04,0,101.96,107.27,24.43,2.12,0,0,0,1.06,1.06,0,0,0,207.1,0,1.06,3.19,13.81,98.77,0,22.3,0,0,15.93,1.06,0,3.19,0,0,4.25,1.06,4.25,2.12,1.06
 96-106,1.09,0,0,1.09,59.01,2.19,0,42.62,0,100.54,86.33,29.51,0,0,0,1.09,0,2.19,1.09,4.37,1.09,161.74,1.09,0,5.46,22.95,76.5,1.09,48.09,0,0,9.84,0,0,3.28,0,0,5.46,0,5.46,7.65,0
108-118,0,0,0,0.77,60.51,0.77,0.77,35.23,0,140.17,68.94,22.21,0.77,0,0.77,0.77,0,4.6,0,0,0,128.68,0.77,0,1.53,20.68,86.55,1.53,35.23,0,0,10.72,0,0,3.06,0,0,5.36,1.53,1.53,2.3,0.77
120,0,0,0,0,54.87,1.96,0,27.44,0,90.15,60.75,31.36,0,0,0,0,0,0,0,1.96,0,88.19,1.96,0,1.96,21.56,113.67,0,23.52,0,0,15.68,0,0,1.96,0,0,3.92,0,1.96,3.92,0
