stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,49.04,600.7,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,13.14,0,0,0,70.98,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,360.13,0,0,0,78.86,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,116.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.78,6.29,0,0,50.35,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,8,7,0,86,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,257,0,1,2,0,0,3,0,0,1,59,2,0,0
 24-34,0,0,0,0,1.64,2.46,0,94.4,0,0,0,2.46,0,0,0,0.82,0,2.46,0,0.82,5.75,0,1.64,223.27,0,8.21,2.46,0,5.75,0,0,1.64,0.82,27.91,0.82,0,0.82
 36-46,0,0,0,0,2.42,2.42,0,119.24,0,0,0,10.47,0,0,0.81,1.61,0.81,0,1.61,0,6.45,0,0.81,210.28,0.81,7.25,0.81,0,3.22,0,0,0,0,28.2,2.42,0,0
 48-58,0,0,0,0,1.72,0.57,0,72.87,1.72,0,0,8.61,0.57,0,0,0,0,0.57,0.57,0.57,7.46,0,0,118.78,0,4.02,1.72,0,4.59,0,0,0,0,11.48,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,35.33,1.96,0,0.98,10.8,3.93,0,0.98,0,1.96,0,1.96,0,4.91,0,0.98,79.5,0,1.96,0,0,1.96,0,0,0,0,8.83,0.98,0,0.98
 72-82,0,0,0,0,3.93,1.96,0,57.92,0.98,0,0.98,14.72,3.93,0,2.94,1.96,0.98,2.94,1.96,0,7.85,1.96,0.98,102.09,0,0,0.98,0,1.96,0,0,0.98,0,2.94,3.93,0,0
 84-94,0,0,1.06,0,7.43,12.74,0,74.34,1.06,0,1.06,24.43,6.37,0,8.5,1.06,3.19,2.12,1.06,0,13.81,1.06,3.19,80.71,0,5.31,1.06,0,10.62,0,0,0,0,2.12,4.25,1.06,1.06
 96-106,0,0,0,0,2.19,4.37,0,53.55,1.09,1.09,0,19.67,2.19,0,5.46,1.09,3.28,0,1.09,0,5.46,1.09,1.09,53.55,1.09,2.19,2.19,0,3.28,0,0,0,0,1.09,6.56,0,0
108-118,0,0,0,0,8.43,14.55,2.3,49.79,0,0.77,1.53,18.38,0.77,0,13.02,0,3.06,2.3,0,0,7.66,0,2.3,89.62,0,3.06,1.53,0,2.3,0,0,0,0,0,5.36,0,0.77
120,0,0,0,0,7.84,17.64,0,27.44,0,1.96,0,11.76,0,0,7.84,0,0,1.96,0,0,13.72,0,1.96,54.87,0,1.96,0,0,1.96,0,0,0,0,1.96,7.84,0,0
