stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,1,10,0,0,0,0,0
 24-34,1.64,12.31,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,1.64,68.95,0.82,0,0,1.64,0,36.94,0,0,0,0,0
 36-46,0,8.86,0,0,8.06,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,213.5,0,0,0,0.81,0,64.45,0,0,0.81,0,0
 48-58,0,6.89,0,0,37.3,0,0,0,3.44,0,0,0,0,0,0,0,0,4.59,0,0,0.57,308.13,0,0,0,1.15,0,80.91,0,0,0,0,0.57
 60-70,0,8.83,0,0,215.93,0,0,0,6.87,0,0,0.98,0,0,0,0,0,7.85,0,0,0.98,511.37,0,0,0.98,1.96,0,90.3,0,0,0,0,0
 72-82,0,8.83,1.96,0,417.21,0,0,0.98,25.52,0.98,0,0,0.98,0,0,0,0,19.63,0,0.98,0.98,471.2,0,0,0,0,0,87.37,0.98,0.98,0.98,0,0
 84-94,0,12.74,2.12,1.06,208.16,1.06,2.12,0,19.12,2.12,2.12,0,0,0,0,0,0,11.68,0,0,0,259.14,0,1.06,1.06,1.06,0,39.3,1.06,0,1.06,2.12,0
 96-106,0,10.93,1.09,0,197.81,0,2.19,1.09,20.76,0,1.09,2.19,0,2.19,1.09,1.09,0,15.3,1.09,1.09,1.09,186.88,1.09,0,0,3.28,0,17.49,1.09,0,0,1.09,1.09
108-118,0,13.79,0.77,0,159.32,0,2.3,2.3,9.96,0.77,0,0,0.77,0,0.77,0.77,0.77,8.43,0.77,0,1.53,207.58,0.77,0,0,2.3,0,17.62,1.53,0,1.53,0,0.77
120,0,11.76,0,0,145.02,0,3.92,0,17.64,0,0,0,1.96,0,0,0,0,1.96,0,0,0,227.34,0,0,3.92,0,0,5.88,0,0,1.96,0,0
