stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,1,0,0,0,77,1,4,0,0,1,5,0,3,6,47,0,0,0,0,13
 24-34,4.1,1.64,0,0,8.21,0,0,0,2.46,0,0,0,0,0,0,0,13.95,0.82,0.82,0,0,2.46,409.61,0.82,47.61,0,0,0.82,0.82,0.82,0,8.21,109.17,0,0,0,0,27.91
 36-46,0,0,0,0,33.03,0.81,0,0,5.64,0,0,0,0,0,0.81,0.81,1.61,1.61,1.61,0,0,1.61,1089.26,0.81,50.76,0,0,2.42,0,0,0,0,180.47,0,0,0,0,13.7
 48-58,0,3.44,0,0,115.33,0,0,1.15,20.08,0,0,0,0,0,0,0,0,2.87,10.33,0,1.15,1.72,1349.59,0.57,42.46,0.57,0,1.72,0,0,0,0,212.31,0,0,1.72,0,7.46
 60-70,0,5.89,0,0,272.86,0,0.98,1.96,56.93,6.87,0,0,1.96,0.98,0,0,1.96,1.96,12.76,1.96,0.98,0,1931.64,0,43.19,0,0,2.94,0,0,0,0,221.82,0,0,0,0,2.94
 72-82,3.93,7.85,2.94,0,375.98,0,0,0.98,159.03,95.22,0,0.98,1.96,0,0,0,0,1.96,34.36,0.98,0.98,0,1662.94,0,78.53,0.98,0,1.96,0,0,0,0,128.6,0.98,1.96,4.91,1.96,1.96
 84-94,5.31,16.99,2.12,0,279.32,0,0,1.06,103.02,194.35,0,1.06,2.12,0,2.12,2.12,0,3.19,21.24,0,2.12,7.43,967.52,0,74.34,1.06,0,8.5,0,0,1.06,0,67.97,0,2.12,2.12,0,0
 96-106,6.56,13.11,8.74,1.09,212.01,1.09,2.19,0,96.17,346.43,0,0,4.37,1.09,1.09,0,3.28,2.19,26.23,0,3.28,1.09,703.79,0,111.47,2.19,0,7.65,0,0,1.09,0,29.51,1.09,0,2.19,2.19,4.37
108-118,2.3,10.72,1.53,1.53,186.89,1.53,0,0.77,101.87,421.28,0,0,2.3,0.77,0.77,0,1.53,1.53,18.38,0,0,3.06,873.96,0,78.13,3.06,0.77,7.66,0,0,0,0,28.34,3.06,0,1.53,0,0.77
120,1.96,13.72,1.96,0,160.7,0,0,0,103.87,250.85,0,0,3.92,3.92,0,1.96,5.88,0,15.68,0,1.96,0,897.58,1.96,52.91,3.92,0,5.88,0,0,0,0,41.16,0,0,1.96,0,0
