stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,41.09,0,0,1.61,0,0,0.81,0,0,0,0,0,1.61,0,0,0.81,10.47,0,0,0,0,0,0.81,0,0,3.22,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,31.56,262.23,0,1.15,4.02,0,0,1.15,0,0,0,0,0.57,16.07,0,0,12.05,71.15,0,0,0.57,0,0.57,2.3,0,0,15.49,0,15.49,0,0,1.15,0,1.15
 60-70,0,0,0,0,4.91,0.98,0,33.37,282.68,1.96,3.93,9.82,0.98,0.98,0,0.98,1.96,0.98,0,0,13.74,0,0,10.8,87.36,1.96,0,0,0,0,8.83,0,0.98,39.26,0,10.8,0,0,0.98,0,1.96
 72-82,0,0,0.98,0,5.89,3.93,0,53.99,196.33,2.94,1.96,11.78,1.96,1.96,0.98,0,0.98,0,0,0.98,33.38,0.98,0.98,7.85,105.04,0.98,0,2.94,0,0,8.83,0,0,35.34,0,12.76,0.98,0.98,9.82,0,1.96
 84-94,0,0,0,0,5.31,6.37,0,49.92,337.73,2.12,2.12,10.62,3.19,0,6.37,2.12,1.06,0,1.06,2.12,30.8,0,0,14.87,75.4,0,4.25,2.12,0,1.06,18.05,0,0,72.22,0,4.25,1.06,3.19,6.37,0,0
 96-106,0,0,2.19,0,16.39,13.11,2.19,81.96,604.34,5.46,1.09,32.79,6.56,2.19,13.11,3.28,3.28,4.37,12.02,0,91.8,1.09,3.28,29.51,147.53,0,2.19,10.93,1.09,3.28,37.16,0,0,79.78,0,5.46,0,2.19,10.93,4.37,5.46
108-118,0,0,0.77,0,19.15,4.6,0.77,66.64,471.83,6.13,3.83,17.62,3.83,0.77,5.36,3.06,1.53,1.53,5.36,2.3,49.79,1.53,1.53,44.43,139.41,2.3,3.06,6.13,0,1.53,16.85,0,0,58.98,0,4.6,0,0.77,6.89,2.3,1.53
120,0,0,0,0,17.64,13.72,1.96,47.03,286.13,3.92,3.92,17.64,3.92,0,5.88,0,1.96,1.96,1.96,0,29.4,1.96,0,27.44,115.63,1.96,3.92,5.88,0,0,13.72,0,1.96,27.44,0,5.88,0,0,0,0,1.96
