stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,19,1,0,1,0,0,0,8,58,0,0
 24-34,0,0,0.82,1.64,0,0,0,12.31,0,0,0,0,0,0.82,0,15.6,0,2.46,1.64,0,0,0,4.1,58.28,0,0
 36-46,0,0,1.61,0,0,0,0,12.09,0,0,0,0,1.61,0,0,19.34,0,4.03,0,0,0,0,4.03,49.15,0,0
 48-58,0,0,1.15,2.3,0,0.57,0.57,14.35,0,0,0,0,0,0.57,0,8.61,0,3.44,1.15,0,0.57,0,0.57,44.76,0,0
 60-70,0,0.98,0,2.94,0,2.94,0.98,12.76,8.83,0,0.98,0,0.98,0,0.98,6.87,0,1.96,2.94,0,0,0,1.96,19.63,0,0
 72-82,0,0.98,0,3.93,0.98,5.89,0,11.78,9.82,0.98,0,1.96,0.98,0,0,9.82,0,8.83,3.93,0,0,0,0.98,19.63,0,0
 84-94,0,0,0,8.5,0,6.37,0,13.81,20.18,0,0,0,0,0,1.06,4.25,0,2.12,6.37,0,0,0,3.19,15.93,7.43,0
 96-106,0,0,0,1.09,0,4.37,0,7.65,2.19,0,0,2.19,0,0,0,2.19,0,5.46,7.65,0,0,0,1.09,15.3,2.19,0
108-118,0,0,0,0.77,0,1.53,0,11.49,6.89,0,0,0.77,0,0.77,0,7.66,0,4.6,3.83,0,0,0,0.77,8.43,1.53,0
120,0,1.96,0,0,0,3.92,0,7.84,5.88,0,0,1.96,0,0,0,3.92,1.96,5.88,3.92,0,0,0,3.92,1.96,1.96,1.96
