stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,22,0,0,1,1,0,0,1,0,0,11,0,0,0,0,0
 24-34,0,0,2.46,0,0,8.21,0,0,0,2.46,0.82,0.82,0,0,0,0,0,0.82,12.31,0,0,1.64,257.75,0,0.82,0.82,0,0,1.64,0,0,0.82,47.61,0,0,0,0,0
 36-46,0,0,1.61,0,0,24.98,0,0,0,10.47,0,0,0,0,0,0,0,0,21.75,0,0.81,1.61,935.38,0,3.22,2.42,0,0.81,1.61,0,0,0,129.71,0,0,0.81,0,0.81
 48-58,0,0,1.72,1.15,0,150.91,0,1.15,2.87,31.56,0,0.57,0.57,0,0,0.57,0,2.3,54.51,0,0.57,4.02,1564.77,0,4.59,2.3,0,0,1.72,0,0.57,0,225.51,0,0.57,0.57,0,2.87
 60-70,0,0,2.94,0,0,485.85,0,0.98,0.98,51.04,0.98,1.96,0,0,0,0,0.98,0,103.06,0,3.93,3.93,2559.81,0,7.85,3.93,0,0,1.96,0,0,0,283.66,0,2.94,0.98,0.98,5.89
 72-82,0,1.96,13.74,2.94,0,721.52,0,0,3.93,99.15,0.98,1.96,2.94,0,0.98,0.98,0.98,0,171.79,0,8.83,12.76,2008.48,0,8.83,1.96,0,1.96,5.89,0,0.98,0,200.26,0.98,3.93,0.98,2.94,5.89
 84-94,0,0,11.68,2.12,0,378.09,0,0,1.06,63.72,1.06,0,1.06,1.06,3.19,1.06,2.12,1.06,87.09,1.06,3.19,10.62,798.65,1.06,3.19,1.06,0,1.06,5.31,0,1.06,0,77.53,1.06,2.12,2.12,7.43,3.19
 96-106,1.09,1.09,15.3,6.56,0,289.6,0,0,2.19,55.74,2.19,1.09,2.19,1.09,6.56,2.19,2.19,1.09,114.75,1.09,4.37,8.74,703.79,0,6.56,10.93,0,5.46,9.84,0,1.09,0,51.36,0,4.37,5.46,3.28,7.65
108-118,0,0,17.62,2.3,0,232.85,0,0.77,0,51.32,0.77,1.53,2.3,0,5.36,0.77,1.53,0.77,91.15,0.77,5.36,6.89,812.69,3.06,2.3,4.6,0,0,1.53,0,0.77,0,25.28,2.3,1.53,4.6,3.83,2.3
120,0,1.96,13.72,1.96,1.96,209.7,1.96,1.96,3.92,29.4,1.96,0,3.92,0,1.96,1.96,1.96,0,78.39,0,1.96,5.88,868.19,1.96,0,5.88,0,1.96,5.88,0,0,0,25.48,0,0,1.96,5.88,0
