stage,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0
 14-21,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,1.72,0,0,0,0,0,0,0
 60-70,0,0.98,0,0.98,0,0,0.98,2.94,0,1.96,0,0,0.98,0,0,0,0
 72-82,0,1.96,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06,0,0
 96-106,1.09,3.28,2.19,0,0,0,0,6.56,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0,0,0,0,0,1.53,0,1.53,0,0.77,0,0,0,1.53,0
120,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0
