stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,1,0,0,0,16,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,2.46,0,0,0,1.64,0,3.28,0.82,21.34,0,0,0.82,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,6.45,0,4.03,0,26.59,0,0,7.25,0,0,0,1.61,5.64,0,0,0.81,0,0,0.81,0,0.81,0,2.42,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,1.15,0,3.44,1.15,1.15,0,28.12,0,0,22.95,1.72,1.15,0.57,0.57,4.59,0.57,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,3.93,0,2.94,0,0,0,30.43,0.98,0.98,40.24,4.91,0,0,0.98,7.85,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,5.89,0,0,0.98,0,0,46.14,0,0,113.87,7.85,0.98,0,0.98,15.71,0,0,0,0,0.98,1.96,0.98,3.93,0,0.98,0.98,0.98,0.98,3.93
 84-94,0,0,0,0,1.06,2.12,0,2.12,0,2.12,2.12,3.19,0,50.98,0,0,450.3,1.06,2.12,1.06,1.06,22.3,0,0,0,0,0,3.19,0,8.5,0,0,1.06,0,0,2.12
 96-106,0,0,1.09,0,8.74,12.02,0,10.93,0,0,6.56,1.09,0,80.87,1.09,0,655.71,16.39,1.09,1.09,3.28,84.15,0,0,0,0,0,9.84,0,12.02,0,1.09,0,1.09,1.09,9.84
108-118,0,0,0,0,2.3,9.96,0.77,13.79,1.53,1.53,6.89,0,0,53.62,0.77,2.3,1306.73,10.72,0,0,0.77,64.34,0.77,0.77,0.77,0,0,2.3,0,7.66,0,0.77,0.77,0.77,3.06,3.06
120,0,0,0,0,1.96,13.72,0,1.96,0,0,3.92,1.96,0,43.12,0,0,605.57,9.8,0,1.96,0,45.08,0,0,0,0,0,3.92,0,11.76,0,0,0,0,0,9.8
