stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,22,367,175,0,419,0,0,0,27,8,17,2,2,2,0,3,3,5,162,0,0,151,2449,40,6,27,72,0,12,3,494,11,11,799,530,0,0,3,0,2
 24-34,0,0.82,7.39,145.29,32.01,0,617.28,4.1,8.21,4.93,38.58,11.49,0.82,0,9.03,15.6,4.93,9.85,8.21,9.03,281.55,5.75,0,92.76,2362.42,9.03,13.95,27.09,0,0,57.46,0.82,0.82,4.93,9.85,163.35,421.1,0,0,34.48,0,15.6
 36-46,0,0,1.61,41.09,2.42,0,315.82,8.86,3.22,7.25,35.45,7.25,0,4.03,4.03,4.03,3.22,3.22,5.64,1.61,128.91,0,2.42,53.17,1130.35,4.83,5.64,9.67,0,0,39.48,1.61,0.81,3.22,5.64,13.7,192.55,0,0,13.7,0,3.22
 48-58,0.57,0,2.87,30.99,2.3,0,332.81,2.3,2.87,4.59,81.48,10.9,1.15,1.72,2.87,2.3,4.02,4.02,6.89,2.3,148.62,0,6.31,38.44,784.97,4.02,5.74,7.46,0,0,21.23,0.57,0.57,2.3,1.15,0,125.09,0,0.57,13.77,0,5.74
 60-70,0,0,0.98,46.13,2.94,0,432.85,7.85,7.85,15.7,102.08,21.59,2.94,3.93,4.91,3.93,3.93,5.89,16.69,2.94,165.88,0.98,9.82,53,810.74,0.98,5.89,7.85,0,0,42.21,0,0,3.93,3.93,0,73.61,0.98,2.94,15.7,0,1.96
 72-82,0,1.96,1.96,54.97,32.39,7.85,368.12,4.91,5.89,16.69,144.3,36.32,1.96,0.98,28.47,9.82,3.93,8.83,10.8,1.96,295.48,1.96,10.8,98.17,736.25,6.87,6.87,10.8,0.98,1.96,56.94,0.98,0,0.98,0.98,0,37.3,1.96,9.82,35.34,10.8,2.94
 84-94,0,3.19,0,73.28,18.05,13.81,207.1,7.43,3.19,9.56,87.09,33.99,1.06,3.19,22.3,15.93,6.37,6.37,18.05,2.12,152.93,5.31,10.62,58.41,316.49,6.37,8.5,13.81,0,3.19,104.08,0,0,6.37,1.06,0,21.24,5.31,4.25,27.61,4.25,2.12
 96-106,0,2.19,1.09,95.08,25.14,9.84,138.79,3.28,14.21,6.56,63.39,29.51,0,3.28,29.51,13.11,5.46,3.28,10.93,0,151.91,4.37,6.56,48.09,221.85,2.19,10.93,14.21,0,1.09,90.71,2.19,0,3.28,0,0,5.46,1.09,5.46,25.14,2.19,8.74
108-118,0,0.77,0.77,114.89,37.53,21.45,150.89,7.66,16.85,6.13,58.21,16.85,0,0.77,22.21,10.72,5.36,6.13,16.09,2.3,153.19,3.06,4.6,65.87,348.51,3.83,9.19,6.89,0,1.53,99.58,1.53,0,2.3,0.77,0,7.66,1.53,3.06,19.92,3.06,6.89
120,1.96,3.92,0,346.88,58.79,5.88,156.78,19.6,37.24,15.68,78.39,47.03,0,3.92,29.4,15.68,5.88,11.76,15.68,3.92,145.02,7.84,17.64,99.95,429.19,7.84,11.76,13.72,0,5.88,190.1,0,0,5.88,1.96,0,5.88,0,1.96,31.36,3.92,5.88
