stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,208.41,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,101,0,0,0,2,0,0,0,0,0,7,0,0,60,8,0,0,3,67,0,0,0,1,0,0,1,0,3,0,32,0,0,1,0,66
 24-34,0,0,0.82,5.75,0.82,0,242.15,0,0,0.82,3.28,0,0.82,0,3.28,0,28.73,0,1.64,160.89,14.78,0.82,0,5.75,343.94,1.64,23.8,0.82,0,0,9.03,0,0.82,0,8.21,131.34,0,0,3.28,0,229.02
 36-46,0,0,3.22,1.61,0,0,211.09,0.81,0,0,4.03,0,0,0,1.61,0,35.45,0,1.61,157.11,15.31,0.81,0,4.03,583.3,0.81,19.34,0.81,0,0,0.81,0,0.81,0,0,204.64,0,0,1.61,0,226.39
 48-58,0,0,0.57,2.3,0.57,0,498.06,0,0.57,0.57,9.18,0,0,0.57,1.15,0,57.38,0,0,113.04,21.23,0,2.3,3.44,638.64,0.57,16.07,5.16,0,0,0.57,0,0,0.57,0,168.7,0,0,2.3,0,259.36
 60-70,0,0,0,10.8,0,0,1265.18,1.96,0.98,0.98,31.41,0,0,0.98,0.98,0,80.48,0,0,76.56,20.61,0.98,0.98,0.98,1406.52,1.96,25.52,1.96,0,0,2.94,0,0,0,0,254.21,0,0,1.96,0,224.77
 72-82,0,0,0,24.54,4.91,0,1790.55,0,0.98,6.87,116.82,0,0,0,2.94,0,90.31,0,0,65.77,44.17,0.98,1.96,0.98,2030.08,0.98,44.17,3.93,0,0,2.94,0.98,0,0,0,171.79,0,1.96,2.94,0.98,206.15
 84-94,0,0,2.12,33.99,2.12,0,1712,1.06,0,1.06,99.83,1.06,0,1.06,3.19,0,135.94,0,3.19,100.89,39.3,0,2.12,1.06,1189.48,1.06,36.11,12.74,0,0,6.37,0,1.06,0,0,125.32,0,2.12,1.06,2.12,134.88
 96-106,0,0,3.28,25.14,7.65,1.09,1417.42,1.09,2.19,3.28,151.91,4.37,0,1.09,8.74,2.19,119.12,1.09,4.37,67.76,33.88,0,0,3.28,1266.61,1.09,68.85,19.67,0,2.19,9.84,1.09,0,1.09,0,68.85,1.09,1.09,0,2.19,148.63
108-118,0,0,1.53,21.45,0.77,0.77,1077.71,0.77,1.53,3.06,117.96,1.53,0,0,5.36,0.77,153.19,0.77,0.77,94.21,23.74,0,1.53,3.83,1459.16,0,44.43,20.68,0,0.77,3.83,0,1.53,0,0,63.57,1.53,0.77,1.53,0.77,136.34
120,0,0,0,33.32,0,1.96,734.92,0,3.92,3.92,103.87,3.92,0,0,1.96,0,107.79,0,1.96,45.08,33.32,0,1.96,0,1554.11,0,47.03,11.76,0,3.92,5.88,0,0,0,0,52.91,0,1.96,3.92,0,47.03
