stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,2,0,5,0,0,0,0,1,1,0,0,74,0,0,0,0,0,3,0,2,19,3,0,0,0,0,27,3,1,4,8,0,0,1,0,1
 24-34,0,0,0.82,2.46,9.85,2.46,0,8.21,0.82,1.64,0,0,0.82,0,1.64,1.64,75.52,0,0,0,0,5.75,9.85,0,5.75,58.28,3.28,0,2.46,0,0,59.92,3.28,0,0,9.03,0,0,9.85,0,1.64
 36-46,0,0,0,0,5.64,0.81,0,4.83,0,1.61,0.81,4.83,0,0,1.61,3.22,16.92,1.61,0.81,0,1.61,11.28,4.03,0,4.03,58.81,0.81,2.42,1.61,0,0,49.15,1.61,0,0,16.11,0,0,3.22,0,1.61
 48-58,0,0,0.57,0,8.61,0.57,0,16.64,0.57,2.3,0,8.03,0,1.15,0,2.3,13.2,0.57,1.15,0,1.15,18.36,0.57,0,1.72,32.71,1.15,0,0.57,0,0,41.31,0,0.57,0,10.33,0,0,2.87,0,1.15
 60-70,0,0,0,0,7.85,0.98,0,35.33,1.96,4.91,2.94,13.74,0.98,0,0.98,4.91,12.76,1.96,2.94,0,0,44.17,0.98,0.98,4.91,32.39,0.98,3.93,2.94,0,0,46.13,0.98,2.94,0,9.82,0.98,0,4.91,0,3.93
 72-82,0,0,1.96,0,13.74,20.61,0,42.21,0.98,1.96,2.94,21.6,3.93,0,0,9.82,28.47,3.93,0.98,1.96,0,72.64,4.91,1.96,7.85,39.27,0.98,5.89,1.96,0,0,50.06,0,0.98,0,7.85,0.98,0.98,20.61,1.96,2.94
 84-94,0,0,0,0,28.68,12.74,0,46.73,3.19,2.12,2.12,3.19,6.37,0,0,12.74,54.16,7.43,0,1.06,3.19,55.23,5.31,0,2.12,35.05,4.25,1.06,1.06,0,0,156.12,1.06,2.12,0,1.06,2.12,1.06,8.5,2.12,2.12
 96-106,0,0,0,0,41.53,15.3,2.19,27.32,1.09,9.84,1.09,20.76,8.74,0,0,14.21,44.81,2.19,4.37,0,1.09,57.92,2.19,0,3.28,34.97,3.28,6.56,5.46,0,0,154.09,1.09,0,0,4.37,5.46,0,18.58,2.19,3.28
108-118,0,0,0,0,40.6,8.43,5.36,30.64,4.6,10.72,1.53,24.51,6.89,0,2.3,19.92,58.21,5.36,3.83,3.06,4.6,54.38,7.66,0.77,7.66,33.7,2.3,6.13,7.66,0,0.77,111.06,0,1.53,0,0.77,6.13,0.77,13.02,1.53,1.53
120,0,0,1.96,0,50.95,11.76,3.92,25.48,9.8,9.8,1.96,17.64,15.68,0,1.96,15.68,15.68,5.88,1.96,0,0,35.28,1.96,1.96,1.96,56.83,5.88,0,17.64,0,1.96,96.03,1.96,3.92,0,1.96,1.96,0,13.72,1.96,3.92
