stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,1.64,10.67,0,0,4.93,0,0,0,5.75,0,0,0
 36-46,0,1.61,0,0,2.42,0,1.61,0,0,0,0,0,0.81,0,16.11,0,0,2.42,0,0,0,4.83,0,0,0.81
 48-58,0,0.57,0,0,3.44,0.57,2.3,0,0,0,0.57,0,3.44,0.57,20.66,0,1.15,4.02,0,0.57,0,5.16,0,0,0
 60-70,0,1.96,0.98,0,9.82,0,0,0,0,0,0,0,1.96,0,25.52,0.98,0,1.96,0,0,0,6.87,0,0,0
 72-82,0.98,0.98,0,0,10.8,0,2.94,0.98,0,1.96,0,0,3.93,0,17.67,0,0,1.96,0,0,0,0.98,0.98,0,0
 84-94,0,1.06,0,1.06,5.31,0,2.12,0,0,0,0,0,1.06,1.06,5.31,0,0,3.19,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,2.19,0,0,0,0,0,0,0,3.28,0,4.37,0,1.09,2.19,0,0,0,0,0,2.19,0
108-118,0,2.3,0,0,3.83,0.77,1.53,0,0,0,0,0.77,1.53,0,7.66,0,0,3.06,0,0,0,0,0,0,0
120,0,3.92,0,0,5.88,0,0,0,0,0,0,1.96,1.96,0,7.84,0,0,1.96,0,0,0,0,0,0,0
