stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,55,0,0,0,1,0,0,7,1,0,8,12,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,0,14.78,0.82,0,0.82,4.93,0,0,0.82,0,0,0,0,0,2.46,7.39,0,2.46,173.2,0,5.75,1.64,0,0,0.82,0,0,0,0.82,41.86,0,0,0.82,0,2.46
 36-46,0,0,0,0,0,0,0,27.39,1.61,0,0.81,19.34,0.81,0,0.81,0.81,0,1.61,0,0.81,0,4.83,0.81,0.81,414.11,0.81,19.34,0,0,0,1.61,0,0,0,0,68.48,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,143.45,0.57,0.57,4.02,44.76,0,0,0,0,0.57,2.87,0,2.87,1.15,17.21,1.15,3.44,683.4,0,10.9,1.72,0,0,2.87,0,0,0,0,73.45,0,0,2.87,0,0
 60-70,0,0,0,0,1.96,0,0.98,504.5,1.96,0,0.98,68.71,0.98,0,0.98,0,0,6.87,0,11.78,0.98,26.5,0.98,0,966.8,0,16.69,0.98,0,0,2.94,0,0,0,0,99.13,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,3.93,4.91,1.96,827.54,0.98,0,2.94,77.55,8.83,0,0,0,0,3.93,0,51.05,0,53.01,0.98,2.94,1023.87,0.98,39.27,3.93,0,0.98,0.98,0,0,0,0,72.64,0.98,1.96,3.93,0.98,0.98
 84-94,0,0,3.19,1.06,10.62,0,9.56,519.34,1.06,0,1.06,47.79,7.43,0,0,5.31,1.06,3.19,0,76.47,0,46.73,2.12,3.19,509.78,1.06,19.12,8.5,0,0,2.12,0,0,1.06,0,37.17,0,3.19,3.19,2.12,0
 96-106,0,0,0,0,14.21,3.28,8.74,531.12,1.09,0,2.19,49.18,13.11,0,1.09,3.28,0,1.09,2.19,248.08,1.09,32.79,0,6.56,434.95,1.09,54.64,7.65,0,1.09,7.65,0,0,0,0,17.49,0,4.37,3.28,0,0
108-118,0,0,0.77,0,5.36,0,13.02,339.32,0,0,1.53,49.02,2.3,0,0.77,2.3,0.77,2.3,1.53,261.19,0,25.28,0,3.06,654.13,1.53,36.77,6.89,0,0.77,6.13,0,0,0,0,13.79,0.77,0.77,5.36,0.77,0
120,0,0,0,0,13.72,1.96,1.96,250.85,0,0,1.96,13.72,1.96,0,0,3.92,0,0,0,160.7,0,19.6,0,3.92,507.58,0,23.52,0,0,0,1.96,0,0,0,0,1.96,0,1.96,3.92,1.96,0
