stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0
  5-6,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,67.43,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,23.66,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,18.88,6.29,0,0,0,0
 14-21,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,36,0,2,0,0,0
 24-34,0,5.75,0,0.82,0,0,1.64,0,0,0,8.21,0,1.64,0,0,0.82,0,3.28,0.82,1.64,0,0,101.79,1.64,0,0,0.82,0
 36-46,0,2.42,0,0,0.81,0,0,0,0.81,0.81,3.22,0,0.81,0,0,1.61,0,5.64,0,4.03,1.61,0,62.84,1.61,0,0,0,0
 48-58,0,0.57,0,0.57,0.57,0.57,0,1.72,0,0.57,0.57,0,2.3,0,0.57,0,0,0.57,0.57,3.44,1.15,0,47.63,0,0.57,0,0,0
 60-70,0,4.91,0,0.98,1.96,0,0,0.98,0,0.98,0.98,0,1.96,0,0.98,0,0,0.98,0,6.87,0.98,0,81.47,0.98,0,0,0,0
 72-82,0,6.87,0,0.98,0,0,0,0,0,1.96,3.93,0,5.89,0,0,0.98,0,0.98,0,7.85,1.96,0,96.2,0,0,0,0,0
 84-94,0,19.12,0,0,8.5,0,6.37,1.06,1.06,2.12,8.5,0,5.31,0,0,2.12,0,1.06,0,6.37,1.06,0,295.25,0,0,0,0,0
 96-106,0,26.23,2.19,2.19,3.28,0,3.28,0,0,7.65,8.74,0,5.46,1.09,1.09,5.46,1.09,12.02,0,12.02,3.28,0,244.8,0,0,0,0,1.09
108-118,0,32.17,0,2.3,4.6,0,4.6,0,0,6.13,12.26,1.53,9.19,0,2.3,0.77,0,3.83,0,10.72,3.06,0,191.49,1.53,0,4.6,0.77,0
120,0,39.2,1.96,1.96,23.52,0,1.96,0,0,5.88,17.64,0,3.92,0,0,3.92,0,1.96,0,11.76,3.92,0,256.73,0,0,0,0,0
