stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0
 24-34,0,0,32.83,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,34.48,0,1.64,34.48,13.13,2.46,0,0,0,3.28,0,0,0,0,4.93,0,0,134.62,0,0
 36-46,0,0,2.42,0,0,0.81,0,0,0.81,1.61,0,16.11,0.81,0,0,0,0.81,0,86.21,0,5.64,20.95,10.47,0,0,0,0,1.61,1.61,0,0,0,0.81,0,0,138.58,0,0
 48-58,0.57,0,0.57,0.57,0,13.77,0,0,1.15,1.15,0,14.35,0,0,0,0,0,0,181.9,0,11.48,22.95,18.94,2.3,0,0,0,6.89,0.57,0,0,0,3.44,0,2.87,86.64,0,0.57
 60-70,0,0,2.94,0,0,36.32,0,0,3.93,1.96,0,14.72,0,0,0,0,0,0,479.96,0,13.74,31.41,15.7,1.96,0,0,0,15.7,1.96,0,0,0,0.98,0,17.67,64.78,1.96,0
 72-82,0,0,5.89,0.98,0,78.53,0.98,0,7.85,8.83,0.98,20.61,0.98,0.98,0.98,0,0,0,908.04,0,33.38,60.86,47.12,0.98,0,0,0,21.6,1.96,0.98,0.98,0,0,0,35.34,84.42,17.67,0
 84-94,0,0,12.74,1.06,0,143.38,2.12,1.06,4.25,7.43,2.12,24.43,0,1.06,1.06,0,1.06,0,647.84,0,41.42,28.68,25.49,2.12,1.06,0,0,16.99,2.12,0,1.06,0,1.06,0,27.61,91.34,24.43,0
 96-106,0,0,6.56,3.28,1.09,111.47,1.09,4.37,8.74,5.46,0,17.49,0,0,0,0,1.09,1.09,660.08,3.28,34.97,37.16,40.44,3.28,1.09,2.19,0,34.97,2.19,0,2.19,0,0,0,21.86,95.08,30.6,0
108-118,0,0,6.89,0.77,0,104.17,0,5.36,0.77,3.06,4.6,13.79,3.83,1.53,0.77,0.77,0,0,592.09,0,35.23,47.49,34.47,2.3,0,0.77,0,26.04,5.36,0,0,0,0,0,12.26,98.81,20.68,0
120,0,0,9.8,1.96,0,21.56,0,5.88,0,3.92,1.96,17.64,0,0,0,0,0,0,466.43,0,27.44,37.24,37.24,1.96,0,0,0,15.68,0,0,0,0,0,1.96,13.72,66.63,25.48,1.96
