stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,8,1,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,1.64,0,0,0,0,17.24,0,6.57,27.91,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,2.42,0,2.42,0,0,3.22,0,0,0,0,33.03,0,4.03,62.04,4.83,0,0,0,0,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,9.18,0,2.3,1.15,0,2.3,0,0,0,0,37.87,0,2.87,82.63,2.3,0,0,0,0,0,0.57,8.61,0,0.57,1.72,0,0
 60-70,0,0,0,0,0,32.39,0,0,1.96,0,1.96,0,1.96,0,0,26.5,0,1.96,141.34,1.96,0.98,0,0,0,0,0,6.87,0,1.96,0,0,0
 72-82,0,0,2.94,0.98,0.98,72.64,0,3.93,9.82,0,0,0,0.98,0.98,0,51.05,1.96,2.94,262.1,1.96,0.98,0,0.98,0,0,0,12.76,0,9.82,0,3.93,1.96
 84-94,0,0,0,4.25,1.06,48.85,1.06,3.19,8.5,1.06,0,1.06,2.12,0,0,20.18,4.25,3.19,130.63,0,2.12,0,1.06,0,0,0,3.19,0,3.19,1.06,6.37,0
 96-106,0,0,1.09,6.56,2.19,48.09,0,1.09,4.37,0,2.19,3.28,4.37,0,0,25.14,6.56,4.37,125.68,0,0,0,0,1.09,1.09,0,5.46,0,3.28,1.09,10.93,0
108-118,0,0,0.77,5.36,0,40.6,0,0,6.13,0,0,0.77,5.36,0,0.77,22.21,2.3,1.53,166.98,0,1.53,0,1.53,0,0,0,4.6,0.77,5.36,0.77,6.89,0
120,0,0,0,5.88,0,25.48,0,0,1.96,0,0,1.96,0,0,0,17.64,9.8,1.96,164.62,0,0,0,1.96,0,0,0,5.88,0,5.88,0,7.84,0
