stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.14,0,0,0,31.47,0,0,3.15,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,343,2,0,6,0,0,0,1,0,1,4,0,1,0,0,0,102,1,0,126,43,9,1,0,0,0,0,0,10,0,0,16,20,0,0,0,0,0
 24-34,0,0,1.64,429.31,1.64,0,15.6,0,7.39,2.46,3.28,0.82,0,6.57,0,1.64,2.46,1.64,0,374.31,3.28,4.1,281.55,105.89,59.1,0,4.1,0,0.82,3.28,0,0,1.64,1.64,4.93,37.76,0,0,1.64,0,0
 36-46,0,0,0,115.21,0,0,9.67,0,3.22,8.06,4.83,0,0,5.64,0,0,0.81,0,0,356.11,0,16.92,140.99,93.46,32.23,0,6.45,0,1.61,0.81,0,0,0,0.81,0,20.14,0,0.81,0.81,0,0.81
 48-58,0,0,0,75.17,0,0,22.38,0,10.33,12.62,4.02,0,0,1.72,0.57,0,1.15,0,0,255.92,0,40.74,72.3,165.83,9.18,0,1.72,0,4.02,0,0,0,0,0,0,8.61,0,1.15,0.57,0.57,0.57
 60-70,0,0,0,54.97,0,0,29.45,0,8.83,6.87,0.98,0,0,2.94,1.96,0,0,0,0,180.6,0.98,47.11,28.46,186.49,2.94,0,3.93,0,0.98,1.96,0,0,0,0,0,0,0,3.93,0.98,2.94,0
 72-82,0,0,0,41.23,0.98,0,44.17,0,9.82,6.87,4.91,0,0,1.96,0,0.98,0,0,0,163.94,0,27.49,33.38,146.27,0,0,2.94,0,1.96,1.96,0,0,0,0,0,1.96,0,4.91,0.98,4.91,0
 84-94,0,0,0,92.4,0,0,40.36,0,13.81,5.31,4.25,0,0,4.25,1.06,0,2.12,0,1.06,82.84,2.12,31.86,18.05,83.9,2.12,1.06,3.19,0,0,1.06,0,0,0,1.06,0,0,1.06,7.43,0,0,0
 96-106,0,0,0,62.29,0,0,36.06,1.09,8.74,5.46,1.09,0,0,4.37,0,1.09,0,0,0,87.43,0,25.14,14.21,57.92,1.09,1.09,5.46,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,3.28,0
108-118,0.77,0,0,52.09,0,0.77,19.15,0,18.38,3.06,3.06,2.3,0,0.77,1.53,0,0.77,0.77,0,59.75,0.77,16.09,8.43,73.53,0.77,1.53,3.06,0,0,2.3,0,0,0,0,0,0,0,1.53,0,3.06,0
120,0,0,0,70.55,1.96,0,13.72,0,9.8,0,5.88,0,0,0,0,0,0,0,0,48.99,0,11.76,1.96,60.75,0,1.96,9.8,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
