stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,47.32,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,9.44,0,0,0,0,0,0,91.26,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,1,0,0,2,12,0,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,42.68,0,16.42,0,0,0,0,0,6.57,0,0.82,0
 36-46,0,0,0,0.81,0.81,4.83,0,0,0.81,0,0,0,0,0,0.81,0.81,0,76.54,0,30.62,0,0,0,0,0,9.67,0,0.81,0
 48-58,0,0,0,1.15,0,7.46,0.57,0,0.57,0,0,0,0.57,0,1.72,0,0,95.83,0,28.12,0,0,0,0.57,0,6.89,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,1.96,0.98,0,0,0,0,1.96,0,0,203.18,0,37.3,0,0,0,0,0,10.8,0,0,0
 72-82,0,0.98,0,1.96,0,16.69,0,0.98,3.93,0,0,0,0,0,3.93,0,0,212.04,0,83.44,0,0,0.98,0.98,0,4.91,0,2.94,0
 84-94,0,0,0,1.06,0,14.87,0,0,4.25,1.06,0,0,1.06,0,2.12,0,1.06,109.39,0,76.47,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,3.28,4.37,5.46,0,0,1.09,1.09,0,0,1.09,1.09,3.28,0,0,101.63,0,128.96,1.09,0,1.09,4.37,0,1.09,0,0,1.09
108-118,0,0,0,5.36,0,4.6,0,0,0.77,0,0,0,1.53,0.77,6.13,0,0,122.55,0,78.89,0.77,0,0,0.77,0,0.77,1.53,0,0
120,0,0,0,1.96,0,21.56,0,0,3.92,1.96,0,1.96,3.92,0,1.96,0,0,150.9,0,56.83,0,0,0,0,0,1.96,0,0,0
