stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,1,1,10,0,0,0,0,2,0,3,4,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,1.64,2.46,9.03,0.82,0.82,0,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0,1.61,0,0.81,0,2.42,0,4.83,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,1.15,0,0.57,0,4.59,0,0,0,0.57,0,0,0,2.87,0.57,0
 60-70,0,0,0,0.98,4.91,0.98,0,0,3.93,0,8.83,0.98,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,4.91,0,0,0,2.94,0,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,2.12,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,1.09,1.09,0,0,4.37,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0.77,0,3.06,0.77,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,1.96,0,0,0,0,0,0
