stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,42.06,15.77,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,15.73,0,0,62.94,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,16,13,6,0,0,0,65,0,0,0,0,0,0,0,0,0,15,3,152,5,5,38,13,0,0,2,5,83,1,5,266,0,0,1,0,1
 24-34,0,0,4.93,0.82,4.93,0,5.75,0,0.82,0.82,84.55,0,0,0,0,0,0,3.28,0,0,4.1,1.64,151.86,0,31.19,9.85,0,0,0.82,0,0,18.06,0,3.28,178.95,0,0,0,0,0
 36-46,0,0,5.64,0,0,0,5.64,0,0,0,41.09,0.81,0,0.81,0,0,0,0.81,0,0,6.45,0.81,111.99,0.81,29,4.03,0,0,0,0,0,4.83,0,0,132.13,0,0,0,0,0
 48-58,0,0,1.72,0.57,2.87,0,8.61,0.57,0,0.57,45.33,0,0,0.57,0,0,0,0.57,0,0.57,4.02,0.57,55.66,0,17.21,2.87,0,0,0,0,0,4.02,0,0,99.84,0,0,0,0,0
 60-70,0,0,3.93,0,0.98,0,17.67,0,0,0,25.52,0,0,0,0,0,0,1.96,0,0,5.89,0,39.26,0,16.69,6.87,0,0.98,0,0,0,1.96,0,0,31.41,0,0,0,0,0
 72-82,0,0,13.74,0,1.96,0.98,16.69,0,0,0,41.23,8.83,0,0,0,0,0,2.94,0,0,3.93,0.98,36.32,0,35.34,13.74,0,0,0,0,0,0.98,0,0,14.72,0,0,0,0,0
 84-94,0,0,16.99,3.19,2.12,0,14.87,0,0,0,31.86,11.68,0,0,0,0,2.12,5.31,0,0,6.37,0,16.99,0,30.8,15.93,0,0,0,0,0,3.19,0,0,16.99,0,1.06,1.06,0,0
 96-106,0,0,17.49,0,1.09,0,20.76,0,0,0,21.86,14.21,0,0,0,0,1.09,5.46,1.09,0,7.65,0,14.21,0,48.09,15.3,0,0,0,1.09,0,7.65,0,0,16.39,1.09,0,0,1.09,0
108-118,0,0,8.43,0,1.53,0,12.26,0,0.77,0,22.98,5.36,0,0,0.77,0,6.13,6.89,0,0,4.6,0.77,9.96,0.77,25.28,13.02,0,0,0,0,0,3.83,0,0,7.66,0,0,0,0,0
120,0,0,0,0,1.96,1.96,3.92,0,0,0,15.68,1.96,0,0,0,3.92,0,3.92,1.96,0,7.84,0,7.84,0,15.68,5.88,0,0,1.96,0,0,5.88,0,0,7.84,0,0,0,3.92,0
