stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,17,0,0,1,0,0,1,1,0,0,0,0,2,0,2,17,0,1,0,0,0,3,1,4,0,0
 24-34,0,9.03,0,0,1.64,1.64,0,0,0,0,0,0,0,0,0,1.64,27.09,0.82,0.82,0.82,0,1.64,0,0,8.21,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,3.22,0,0.81,35.45,0,0.81,0,0,0,0,0,8.06,0,0.81
 48-58,0.57,1.15,0,0,9.18,0.57,0,4.02,0,0,0,0,0,4.02,0,0.57,33.85,0,0,0.57,0,0,0,0,8.03,0,0.57
 60-70,0,0,0,0,11.78,0.98,0,0,0,0,0,0,0,2.94,0,0,27.48,0,1.96,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,12.76,0,0,4.91,0,0,0,0,0,2.94,0,1.96,22.58,0,0,0,0,0.98,0,0.98,1.96,0,0.98
 84-94,0,0,1.06,0,4.25,0,0,2.12,0,1.06,0,0,0,1.06,0,0,9.56,0,0,0,1.06,2.12,0,0,1.06,0,0
 96-106,0,1.09,2.19,0,9.84,0,1.09,2.19,0,0,2.19,1.09,0,2.19,0,0,9.84,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0.77,0.77,0.77,5.36,0.77,0,1.53,1.53,0.77,0,0.77,0.77,2.3,0.77,0,15.32,0,0.77,0.77,0.77,0,0,0.77,0.77,0.77,0
120,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,13.72,0,1.96,0,0,0,0,0,0,0,0
