stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,12,0,8,0,0,0,2,1,1,0,0,0,0,0,1,3,0,0,3,59,6,0,1,1,0,4,2,1,1,8,23,0,0,0,0,0
 24-34,0,0,2.46,0.82,11.49,0,0,0,0.82,0,0,0,0,0.82,0.82,0,0,3.28,0,0,3.28,68.13,4.93,0,0.82,0,0,10.67,0,0,0,0,27.09,0,0,0,0,0
 36-46,0,0,5.64,0,24.17,0,0,0.81,8.06,0,0.81,0,0,0.81,2.42,0.81,0,20.14,0,0,5.64,111.99,8.06,1.61,0,0,0,10.47,0,0,0.81,0,37.06,0,0,0.81,0,0
 48-58,0,0,4.59,0,60.82,0,0,0.57,10.33,0.57,0,0,0,0.57,0.57,0,0.57,22.38,0,0,2.87,271.98,4.59,1.15,0.57,0,0,6.31,0,0,0,0,84.35,0,0,0.57,0,0.57
 60-70,0.98,0,5.89,0,101.1,0,1.96,4.91,10.8,0.98,0.98,0,0.98,0,0,0,0,38.28,0,0,3.93,434.81,2.94,0.98,1.96,0,0,2.94,0,0,0,0,107.97,0,0,0,0.98,0
 72-82,0.98,0,15.71,0,143.32,0,0,9.82,27.49,0.98,0,0.98,0.98,0.98,1.96,0.98,0,54.97,0.98,0,5.89,477.09,1.96,1.96,1.96,0,0.98,1.96,0,0,0,0,87.37,1.96,1.96,0,0.98,0
 84-94,1.06,1.06,20.18,0,116.82,0,0,4.25,15.93,1.06,0,0,6.37,1.06,0,0,1.06,38.23,1.06,0,0,259.14,6.37,3.19,1.06,0,0,19.12,0,0,0,0,42.48,0,0,0,1.06,0
 96-106,1.09,0,16.39,1.09,100.54,1.09,0,6.56,29.51,2.19,0,1.09,7.65,0,5.46,0,1.09,50.27,0,2.19,3.28,230.59,1.09,2.19,5.46,0,0,13.11,0,0,0,0,30.6,2.19,0,0,2.19,0
108-118,1.53,0,14.55,0,80.43,0,1.53,3.83,15.32,0,0,0,5.36,1.53,0,0,0.77,44.43,0,1.53,3.06,239.75,2.3,0.77,0,0,1.53,8.43,0,0.77,0,0,17.62,0,1.53,0,1.53,0
120,0,0,15.68,0,52.91,0,1.96,0,7.84,1.96,0,1.96,1.96,3.92,0,0,0,19.6,0,1.96,1.96,194.02,3.92,1.96,0,0,0,9.8,0,0,0,0,9.8,0,1.96,0,0,0
