stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,8,1,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,4.1,0,0,0,0.82,0,0,0,0.82,0,0,7.39,0,0,0,150.22,0.82,1.64,1.64,0,0,0,50.89,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,11.28,0,0.81,0,2.42,0,0,0,0,0,0,7.25,0,0,1.61,450.37,0,0,1.61,0,0,0,78.96,0,0,0,0,0.81
 48-58,0,0,0,0,3.44,0.57,0,45.9,0,0.57,0,8.61,0,0.57,0,0,0,0,16.64,0,0,1.72,603.64,0,0,2.87,0,0,0,76.32,0,0,0,0,0.57
 60-70,0,0,0.98,0.98,2.94,0,0,170.78,0,0,0.98,48.09,0.98,0,0,0,0,0,62.82,0,0,2.94,1337.81,0,3.93,3.93,0,0,1.96,137.41,0,0,0,0,0
 72-82,0,0,2.94,0,19.63,0.98,0,279.77,0.98,0,0,115.84,10.8,0,1.96,0,0,0.98,148.23,0.98,0.98,0.98,1671.77,0,0,4.91,0,0,0.98,93.26,0.98,3.93,0.98,3.93,0.98
 84-94,0,0,1.06,0,29.74,3.19,1.06,230.46,0,2.12,0,83.9,28.68,1.06,1.06,0,0,0,98.77,1.06,3.19,2.12,856,0,0,5.31,0,0,1.06,39.3,2.12,1.06,1.06,1.06,0
 96-106,0,0,3.28,0,32.79,1.09,1.09,192.34,0,1.09,0,87.43,8.74,0,1.09,0,0,1.09,121.31,0,3.28,1.09,837.12,0,0,6.56,0,0,2.19,22.95,0,3.28,1.09,1.09,1.09
108-118,0,0,1.53,0,37.53,0.77,1.53,153.19,0,3.06,1.53,81.19,10.72,0,1.53,0,3.06,0,121.79,0,0,2.3,993.45,0,1.53,7.66,0,0.77,1.53,19.15,0,0,0.77,0.77,0
120,0,0,0,0,39.2,1.96,0,146.98,0,0,3.92,92.11,3.92,0,0,0,5.88,1.96,103.87,0,0,1.96,1181.75,0,0,3.92,0,0,3.92,19.6,0,1.96,0,0,0
