stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,23,27,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,15,0,0,9,27,1,2,0,0,0,10,2,0,13,9,0,0,9,0,0
 24-34,0,1.64,31.19,20.52,0,4.93,0.82,3.28,2.46,4.1,1.64,0,4.1,0,0,0,0.82,0,0,98.5,0.82,0.82,56.64,74.7,1.64,4.1,1.64,0,9.85,0,8.21,0,13.13,19.7,0,0,64.85,0,0.82
 36-46,0,0,11.28,3.22,0,4.83,0.81,5.64,2.42,7.25,0.81,0,4.03,0,0.81,0.81,0,0,0,125.68,0,1.61,42.7,41.09,1.61,4.03,1.61,0,8.06,0,4.03,0.81,0.81,12.89,0,0,32.23,0,2.42
 48-58,0,0,7.46,3.44,0,10.33,2.3,8.61,7.46,12.05,0,2.3,10.33,1.72,0,0,1.15,0,1.15,166.98,0,3.44,36.15,31.56,1.15,1.15,2.3,0.57,2.87,0,1.15,0,0,6.31,0,0,28.12,0,4.59
 60-70,0,0,10.8,4.91,0,10.8,0.98,14.72,12.76,71.65,2.94,0,6.87,3.93,0,0.98,2.94,0,2.94,274.83,0,7.85,35.33,32.39,0.98,0.98,4.91,1.96,8.83,0,0.98,0.98,0,9.82,0,8.83,34.35,3.93,2.94
 72-82,0.98,0,21.6,5.89,0,24.54,0.98,7.85,31.41,165.9,6.87,0,15.71,0.98,2.94,2.94,6.87,0,0.98,610.59,0.98,27.49,46.14,46.14,2.94,2.94,7.85,8.83,4.91,0,5.89,0,0,7.85,0.98,16.69,89.33,21.6,7.85
 84-94,0,0,47.79,6.37,0,30.8,5.31,18.05,22.3,99.83,8.5,0,9.56,3.19,2.12,7.43,4.25,1.06,2.12,381.27,0,20.18,48.85,38.23,0,4.25,6.37,4.25,11.68,0,5.31,0,0,12.74,1.06,20.18,79.65,20.18,7.43
 96-106,0,0,52.46,13.11,0,40.44,2.19,18.58,24.04,134.42,9.84,0,19.67,3.28,1.09,7.65,3.28,2.19,2.19,461.18,1.09,22.95,41.53,68.85,3.28,6.56,9.84,12.02,2.19,0,4.37,0,0,10.93,2.19,21.86,112.56,28.41,6.56
108-118,0,0,50.55,6.13,2.3,32.94,3.83,29.11,14.55,107.23,11.49,0,7.66,4.6,1.53,9.96,4.6,0.77,3.83,536.94,0,17.62,52.85,59.75,2.3,1.53,13.02,13.02,6.89,0,5.36,0.77,0,9.96,0,7.66,85.02,19.15,13.02
120,0,0,37.24,5.88,0,15.68,0,23.52,19.6,127.39,3.92,0,13.72,7.84,0,15.68,7.84,0,1.96,450.75,0,15.68,50.95,62.71,9.8,0,9.8,15.68,7.84,0,1.96,0,0,7.84,0,15.68,96.03,21.56,5.88
