stage,axial,blastomeres,epidermis,fast.muscle,fin.epithelia,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
