stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,1,7,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,108.35,0.82,10.67,0.82,0,0,0,1.64,0.82,28.73,0,0,5.75,0,0
 36-46,0,0,0,0.81,0,4.03,0.81,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,256.2,0,12.89,0.81,0,0,0,0.81,0,34.64,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,11.48,0,1.15,12.62,0,0.57,0,0,0,0,0,0.57,5.16,0,0,0.57,385.6,0,9.18,1.15,0,0,0.57,1.15,0,36.15,0,0,1.15,0,1.72
 60-70,0,0,0,0.98,0,25.52,0,0,10.8,1.96,0,0,0.98,0,0,0,0,5.89,0,0.98,2.94,615.41,0.98,9.82,0.98,0,0,0,0,0,35.33,0,0,0,0,0
 72-82,0,0,0.98,0.98,1.96,56.94,0,0,25.52,2.94,0,0.98,2.94,0.98,0,0,0,17.67,0,1.96,0.98,746.06,0,11.78,4.91,0,0,0,0.98,0,27.49,0,0,3.93,0,0.98
 84-94,0,0,3.19,4.25,0,53.1,0,0,16.99,1.06,0,0,3.19,0,1.06,0,0,4.25,0,0,0,366.4,0,11.68,9.56,0,0,1.06,0,0,19.12,1.06,0,2.12,1.06,0
 96-106,0,0,3.28,2.19,1.09,42.62,0,1.09,9.84,0,0,2.19,2.19,0,1.09,1.09,0,10.93,1.09,0,0,297.25,0,20.76,17.49,0,0,2.19,1.09,0,6.56,1.09,2.19,5.46,0,0
108-118,0,0,2.3,4.6,0.77,18.38,0.77,0.77,9.96,0.77,0,0,3.06,0.77,1.53,0,0,14.55,0.77,0.77,0,450.39,0.77,19.92,10.72,0,0,0.77,0,0,9.96,0.77,0,5.36,1.53,0
120,0,0,0,3.92,3.92,35.28,0,0,11.76,3.92,0,0,5.88,0,0,0,0,3.92,3.92,0,1.96,429.19,0,13.72,7.84,0,1.96,0,1.96,0,11.76,0,0,7.84,0,0
