stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,43,2,0,0,0,0,0,0
 24-34,0,5.75,0,0.82,0,0,0,0,0.82,0,4.1,0,0,0,0,0.82,0,1.64,10.67,8.21,0,0,129.7,2.46,0,2.46,0,0,0,0
 36-46,0,4.03,0,0.81,0,1.61,0,1.61,0,0,0,0,0,0,0,0.81,0,0,7.25,3.22,0,0,146.63,0,0.81,0.81,0,0,0,0
 48-58,0,6.31,0,4.02,0,2.87,0.57,0,0.57,0,0,0,1.15,0,0.57,1.72,0,0,8.03,3.44,1.72,0,191.08,1.15,0,1.15,0,0,0,0
 60-70,0,9.82,0,5.89,0,4.91,0,0.98,1.96,0,0.98,0,2.94,0,0.98,0.98,0,0,8.83,5.89,0.98,0,212.01,0,0,0,0.98,0,0,0
 72-82,0,25.52,0,10.8,0,0.98,0,2.94,5.89,0.98,4.91,0,0,0,4.91,2.94,0,0,6.87,10.8,3.93,0,326.89,0.98,0,0,0,0.98,0,0
 84-94,0,49.92,0,6.37,0,13.81,0,0,12.74,0,12.74,0,0,1.06,1.06,4.25,1.06,2.12,4.25,20.18,3.19,0,790.16,3.19,0,0,0,0,0,0
 96-106,0,91.8,2.19,9.84,0,14.21,1.09,1.09,17.49,0,8.74,1.09,2.19,0,6.56,6.56,0,1.09,15.3,43.71,8.74,1.09,767.18,2.19,0,0,3.28,1.09,2.19,0
108-118,0,76.6,0,3.83,0,20.68,0,3.83,6.89,0.77,22.21,0,0.77,0,7.66,6.13,0,0.77,7.66,23.74,10.72,0.77,642.64,0,0,0,2.3,1.53,0,0.77
120,0,60.75,0,1.96,1.96,23.52,1.96,0,13.72,0,7.84,0,0,0,0,13.72,0,0,9.8,19.6,1.96,0,446.83,0,0,1.96,0,0,0,0
