stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,34.62,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,6,8,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,7,0,0,7,98,1,1,1,0,1,0,6,0,1,13,34,0,6,0,0
 24-34,0,0,0,1.64,3.28,0,20.52,0,0.82,0,0.82,0,0,6.57,0,0,0,0,0,0,18.88,0,0,0.82,160.89,3.28,0,0,0.82,0,0,0,0,0.82,2.46,39.4,0,64.85,0,0
 36-46,0,0,0,2.42,0.81,0,21.75,0,0,0,7.25,0,0,2.42,0,0,0,0,0.81,0,28.2,0,1.61,4.83,75.73,4.83,0.81,0,0,0,0,0,0,0,0,25.78,0,62.84,0,0
 48-58,0,0,0,0,0,0,15.49,0,0,0.57,8.03,0,0,8.61,0,0,0,0,0,1.72,28.12,0,0,6.31,24.67,1.15,0,0,0,0,0,0,0,0,0,14.92,0.57,68.86,0,0
 60-70,0,0,0,0,0.98,0,3.93,0,0,1.96,11.78,0,0,7.85,0,0,0,0,0,0,42.21,0,0.98,6.87,16.69,1.96,0,0,0,0,0,0,0,0,0,5.89,0,63.8,0,0
 72-82,0,0,0,1.96,0,0,5.89,0,0,0,11.78,1.96,0,17.67,0,0.98,0.98,0,0,0.98,59.88,0,0,4.91,20.61,0.98,0,0,0,0,0,0,0,0,0,1.96,0.98,142.34,3.93,0.98
 84-94,0,0,0,2.12,1.06,0,4.25,1.06,0,0,14.87,0,0,6.37,0,2.12,1.06,1.06,0,1.06,31.86,0,1.06,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0,126.38,0,1.06
 96-106,0,0,0,1.09,2.19,0,9.84,0,0,0,5.46,1.09,0,15.3,1.09,0,0,0,0,1.09,33.88,1.09,0,1.09,17.49,2.19,0,0,0,0,0,0,0,0,0,4.37,2.19,137.7,2.19,0
108-118,0.77,0,0,1.53,0,0.77,4.6,0,0,0,6.13,1.53,0,6.13,0,2.3,0.77,0,0.77,2.3,29.11,0,0,2.3,11.49,2.3,0,0,1.53,0,0,0,0,0,0,0,1.53,109.53,0.77,0
120,0,0,0,3.92,0,0,3.92,0,0,1.96,17.64,0,0,5.88,0,0,1.96,0,0,3.92,35.28,1.96,1.96,3.92,13.72,7.84,0,0,0,0,0,0,0,0,0,0,0,111.71,0,0
