stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,heart,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,0,0.57,1.15,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,1.96,2.94,0,0,0.98,3.93,0,0.98,0,0,1.96,2.94,0
 72-82,0,0,0,2.94,2.94,0,0.98,3.93,7.85,0,2.94,0,0,2.94,0.98,0
 84-94,0,0,1.06,1.06,1.06,0,0,1.06,6.37,0,0,0,0,7.43,0,0
 96-106,0,0,1.09,2.19,1.09,0,0,1.09,2.19,0,0,0,0,5.46,0,0
108-118,0,0,1.53,0,0,0,0,3.83,8.43,0,1.53,0,0.77,3.06,0,0.77
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,3.92,0,0
