stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,0
 24-34,0,0,0,1.64,0,0,1.64,0,0,0,0,0,3.28,0,4.1,0,0,0,2.46,0,2.46,4.93,0,0.82,0,0,4.93,4.1,17.24,0.82,1.64,0,2.46,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81,4.03,0,2.42,0,0.81,0,2.42,1.61,1.61,12.09,0,1.61,0.81,0.81,2.42,1.61,16.92,0,5.64,0,0.81,0
 48-58,0,0,0,0,0,0,5.16,2.3,0,0,1.72,0.57,1.72,0,0,0,0,0,1.72,1.15,0.57,11.48,1.15,0,0.57,0,0.57,1.15,14.35,0,3.44,0,1.15,0
 60-70,0,0.98,0,0,0,0,10.8,3.93,0.98,0.98,0,3.93,3.93,0,0,0,0,0,0.98,2.94,0,8.83,0,0,0.98,0,0,1.96,17.67,0,0,0,0.98,0.98
 72-82,0,0.98,0,0.98,0,0,15.71,0,0,0,13.74,1.96,0.98,0,0,0,1.96,0,5.89,4.91,1.96,25.52,0,3.93,1.96,0,0.98,1.96,15.71,0,1.96,0,4.91,0
 84-94,0,0,1.06,1.06,0,0,9.56,5.31,0,0,6.37,5.31,2.12,1.06,0,1.06,0,0,1.06,2.12,0,12.74,0,1.06,3.19,0,1.06,3.19,14.87,0,0,1.06,4.25,0
 96-106,0,1.09,0,4.37,1.09,0,9.84,3.28,0,0,20.76,4.37,0,0,6.56,2.19,1.09,2.19,4.37,5.46,2.19,19.67,0,4.37,2.19,0,12.02,4.37,18.58,0,1.09,1.09,3.28,0
108-118,0,1.53,0,0.77,1.53,0,6.13,8.43,0,0,14.55,13.02,3.06,0,3.83,0,0,0.77,4.6,1.53,3.06,21.45,0,0.77,1.53,0,2.3,0.77,20.68,0,0.77,0,3.06,0
120,0,0,0,1.96,0,1.96,9.8,1.96,0,0,9.8,11.76,1.96,0,0,0,0,0,1.96,0,1.96,19.6,0,0,3.92,0,0,0,13.72,0,1.96,0,7.84,0
