stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,171.31,3070.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,159.37,1734.69,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,12.26,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,162.98,5.26,0,0,70.98,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,31.47,0,3.15,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,173.08,6.29,0,0,72.38,0,9.44,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,143,3,0,2,0,0,0,6,0,0,0,7,0,1,0,0,9,1,0,1,6,0,0,2,0,0,12,1,1,3,3,4,0,0,0,0
 24-34,0,0,0,0,45.97,0,0,1.64,3.28,0,0,0.82,0,0,0.82,18.88,0,1.64,0,0,2.46,3.28,0,0,13.95,0.82,4.93,0,0,0,77.98,0,0,1.64,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,16.92,0,0,4.03,8.86,0,1.61,2.42,1.61,0,0.81,8.86,0,3.22,0,0,0.81,4.03,0,0.81,27.39,0,7.25,2.42,0,0,81.37,0,0,4.03,0,2.42,0,0,0,0
 48-58,0,0,0,0.57,24.67,0,0,4.02,6.89,0,1.72,0,1.72,1.15,0.57,5.16,0,2.3,0,0.57,2.87,2.87,0.57,1.15,20.08,0,8.61,0,0,0,70.58,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0.98,0,55.95,0,0,5.89,20.61,0,1.96,6.87,0,0,1.96,12.76,0,2.94,1.96,0,1.96,5.89,0,0,28.46,0,5.89,4.91,0,0,145.27,0,0,0.98,0,2.94,0,0.98,1.96,0
 72-82,0,0,2.94,0.98,34.36,0,0,3.93,8.83,0,0,16.69,0,1.96,2.94,13.74,0,2.94,2.94,0,2.94,9.82,0,0.98,17.67,0,15.71,13.74,0,0.98,97.18,0,0,0,0,0.98,1.96,0.98,0,0
 84-94,0,0,1.06,0,143.38,2.12,0,3.19,40.36,1.06,0,25.49,2.12,2.12,6.37,27.61,0,2.12,0,0,7.43,8.5,0,1.06,10.62,1.06,11.68,10.62,0,0,348.35,0,0,3.19,0,1.06,3.19,1.06,0,1.06
 96-106,0,0,1.09,0,107.1,0,1.09,4.37,21.86,0,1.09,22.95,0,0,8.74,41.53,1.09,14.21,2.19,0,3.28,18.58,1.09,0,18.58,0,29.51,14.21,0,1.09,287.42,1.09,0,1.09,0,0,9.84,0,0,0
108-118,0,0,3.06,0,117.96,2.3,0.77,3.06,38.3,0,2.3,45.19,0,1.53,6.89,33.7,0,8.43,3.83,0,6.13,11.49,0.77,0.77,12.26,0,12.26,12.26,0,0,176.94,0,0,6.13,0,0,15.32,2.3,0.77,0
120,1.96,0,1.96,0,103.87,0,1.96,5.88,25.48,0,0,27.44,0,0,9.8,17.64,0,7.84,1.96,0,1.96,13.72,1.96,1.96,21.56,0,13.72,13.72,0,0,199.9,0,0,7.84,0,0,3.92,0,0,0
