stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,2,2,7,0,2,0,0,2,1,0,0,0,0,0,0,0,0,21,2,1,0,1,2,14,15,0,0,1
 24-34,0.82,0,0,0.82,0.82,0,0,0,0,0,0,0,1.64,0,0.82,0,0,16.42,0,0.82,0,0,0,0,12.31,0,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0,0,0,43.51,0,2.42,0.81,0,0.81,2.42,9.67,0,0,0.81
 48-58,1.15,0,0.57,0,5.16,0,0,0,0,0,0,0,0,0.57,0,1.15,0,47.63,0,0.57,0,0,0,0.57,7.46,0,0,0
 60-70,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0,0,0,4.91,0,142.32,0,0.98,0,0,0.98,1.96,5.89,0,0,0
 72-82,0,0,0,0,5.89,0,0,1.96,0,0,0,0,0.98,0,0,8.83,0,140.38,0,0.98,0.98,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,10.62,0,0,3.19,0,0,0,0,1.06,0,0,3.19,0,89.21,0,4.25,1.06,0,1.06,4.25,2.12,0,1.06,1.06
 96-106,1.09,0,1.09,0,6.56,0,1.09,2.19,0,0,0,1.09,0,0,0,1.09,0,86.33,0,2.19,0,0,1.09,2.19,4.37,1.09,0,0
108-118,0,0,0.77,0,3.06,0.77,0,4.6,0,0,0.77,0.77,0,0,0,3.06,0.77,127.92,0,2.3,0,0,0,1.53,3.06,0,0,0
120,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,7.84,0,135.23,0,1.96,0,0,0,0,3.92,0,0,0
