stage,axial,blastomeres,endoderm,epidermis,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,10,0,0,1,0,0,2,11,0,0
 24-34,0,0,0,1.64,3.28,0.82,0,1.64,0,1.64,4.93,0,0,0,0,0,0,12.31,0,0
 36-46,0,0,0,0.81,3.22,3.22,0,4.83,0.81,0,8.06,0,0.81,0.81,0,0,0,8.86,0,0
 48-58,0,0,0,0,5.74,2.87,0,1.15,0,0.57,5.16,0,1.15,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,10.8,1.96,0,2.94,0,0,5.89,0,0.98,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,1.96,4.91,0.98,4.91,0.98,0.98,2.94,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,5.31,0,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0,1.53,0.77,0.77,0,0,0.77,0,1.53,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0
