stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,5,3,0,1,0,0,1,0,1,0,0,0,0,0,0,6,0,6,18,1,0,0,0,0,2,1,3,0,20,0,2,0,0
 24-34,0,0,0,0.82,7.39,0,4.1,0,0,0,0.82,0.82,0,0,4.93,0,0.82,0,0,0.82,7.39,0,4.1,59.1,0,1.64,0,0,0,0.82,0,2.46,0.82,18.06,0,11.49,0,1.64
 36-46,0,0,0.81,0,0.81,0,3.22,0,0,0,1.61,0,0,0.81,19.34,0,0,0,0,0.81,7.25,0,0,65.26,0,0.81,1.61,0,0,2.42,0,0.81,0,24.98,0,2.42,0,0
 48-58,0,0,0,0,1.15,0.57,10.9,0,0.57,1.15,5.16,0,0,1.15,17.21,0,0,0.57,0,1.15,17.79,0,0.57,81.48,0.57,1.15,0,0,0,1.15,0,0,0,14.92,0,3.44,0,2.3
 60-70,0,0,0,0,0,0,23.56,0,0,2.94,6.87,0,0,0.98,31.41,0,0,0.98,0,1.96,20.61,0,0,60.85,0,0,0.98,0,0,0.98,0,0,0,4.91,0.98,3.93,0,0
 72-82,0,0,0,0,0.98,0.98,20.61,0,0.98,3.93,4.91,0,0,1.96,25.52,0,0,0.98,0,0,20.61,0.98,0.98,69.7,0,0,0.98,0,1.96,0,0,0,0,8.83,0,4.91,0,0.98
 84-94,0,0,0,0,3.19,0,5.31,1.06,2.12,0,6.37,1.06,0,0,38.23,0,1.06,0,0,1.06,6.37,3.19,1.06,41.42,0,0,0,0,0,3.19,0,0,0,2.12,2.12,6.37,0,0
 96-106,0,0,1.09,0,3.28,0,8.74,0,0,1.09,0,0,0,2.19,49.18,1.09,1.09,0,0,0,18.58,1.09,0,38.25,0,1.09,0,0,0,8.74,0,0,0,0,3.28,9.84,1.09,2.19
108-118,0,0,0.77,0,2.3,0.77,8.43,0,0.77,0,1.53,2.3,0,0,48.26,0.77,2.3,0,1.53,0.77,6.89,0.77,0,42.13,0,3.06,0,0,0,3.06,0,0,0,0,0,5.36,0,1.53
120,0,0,0,0,0,0,7.84,0,0,0,5.88,3.92,0,0,62.71,0,1.96,0,0,0,1.96,1.96,0,99.95,0,1.96,0,0,0,5.88,0,0,0,0,0,5.88,0,1.96
