stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,7.89,0,0,0,0,49.95,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,212.93,13.14,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,6.29,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,327.28,28.32,0,0,119.58,0,3.15,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,19,2,9,0,0,0,0,2,0,0,0,1,0,0,1,5,0,0,2,269,14,22,5,27,0,3,36,0,0,6,171,0,0,4,0,0
 24-34,0,0,2.46,0.82,18.88,3.28,9.03,0,0,0,4.1,0,0,0,1.64,1.64,1.64,0,0.82,49.25,0,0,5.75,481.02,27.09,41.86,5.75,0,1.64,0.82,0.82,0.82,0,13.13,364.46,0,0,37.76,0,0.82
 36-46,0,0,0,0,6.45,0.81,27.39,0,0.81,0,4.83,0,0,1.61,0.81,0.81,0.81,0,0,54.79,0,0,4.03,410.09,33.84,13.7,2.42,0,0,0,0,0,0.81,0,431.03,0,0,41.89,0,1.61
 48-58,0,0,0,0,9.18,0,47.63,0.57,1.15,0,20.08,0,0,0,0,0,0,0,0,53.36,0,0,5.16,285.18,13.77,2.3,2.3,0,0.57,0,0,0,0.57,0,402.24,0,0,21.8,0,0
 60-70,0,0,0,0,5.89,0.98,71.65,0,0.98,0.98,9.82,0,0,0,0,0,0,0,0,42.21,0,0,0,352.37,5.89,2.94,0.98,0,0,0,0,0,0,0,234.58,0,0,6.87,0,0.98
 72-82,0,0,0.98,0,6.87,0.98,71.66,0,2.94,0.98,11.78,0,0,0,0,0,0,0,0,24.54,0.98,0,2.94,341.62,0.98,2.94,1.96,0,0,0,0,0.98,0,0,190.44,0,1.96,8.83,0.98,0.98
 84-94,0,0,1.06,0,10.62,2.12,62.66,0,1.06,5.31,15.93,0,0,0,0,0,0,0,0,27.61,0,1.06,3.19,221.97,8.5,1.06,2.12,0,1.06,0,0,0,0,0,109.39,0,0,13.81,0,0
 96-106,0,0,1.09,1.09,10.93,0,49.18,0,1.09,2.19,6.56,0,0,0,2.19,1.09,0,0,0,25.14,0,3.28,1.09,145.35,5.46,3.28,2.19,0,0,1.09,0,0,0,0,48.09,0,0,9.84,1.09,0
108-118,0,0,0,0,5.36,0,41.36,0,2.3,0,8.43,0.77,0,0,0,0,0.77,0.77,0,15.32,0,2.3,0.77,187.66,1.53,0.77,1.53,0,1.53,0,0,0,0,0,40.6,1.53,0,2.3,0,0
120,0,0,0,0,7.84,1.96,23.52,0,0,1.96,3.92,0,0,0,1.96,1.96,0,0,0,13.72,0,0,1.96,190.1,3.92,0,0,0,1.96,0,0,0,0,0,39.2,1.96,0,1.96,0,0
