stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,2.63,0,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,123.55,7.89,0,47.32,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,3.15,0,3.15,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,6.29,0,37.76,0,3.15,3.15,3.15,3.15,0,0,0,0
 14-21,0,0,0,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,17,0,0,0,1,0,4,0,8,4,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0,0.82,0,0,0.82,0,0,0,2.46,0.82,0,1.64,22.16,0,0,0,0.82,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,12.89,0,0,0,1.61,0,0,0,0,4.03,0,0,0.81
 48-58,0,0,0,1.15,0,0,8.61,0,0,2.3,0,0,0,0,1.15,0,0,0,4.59,0,0,1.72,16.64,0.57,0.57,0,1.72,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0.98,0,0,11.78,0,0.98,0,0.98,0,0,0,0,0.98,0,0,7.85,0,0,0,24.54,0,0,0,1.96,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0.98,0,0,4.91,0,0,5.89,0,0,0,0.98,0,0.98,0,0.98,9.82,0,0.98,2.94,33.38,0,0,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,6.37,0,1.06,1.06,0,0,0,1.06,1.06,0,0,0,5.31,0,0,1.06,11.68,0,1.06,0,4.25,0,0,2.12,0,2.12,1.06,0,1.06
 96-106,0,0,0,0,0,0,5.46,0,1.09,4.37,0,0,1.09,0,0,0,0,0,10.93,0,0,1.09,6.56,0,0,0,6.56,0,0,0,0,0,0,0,2.19
108-118,0,0,0,2.3,1.53,0.77,6.89,0.77,0,1.53,0,0,0,1.53,1.53,0,0.77,0,3.83,0,0,0.77,8.43,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,13.72,1.96,0,0,5.88,0,0,0,0,0,0,0,0
