stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,3426.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1912.45,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,300.35,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,0,2.63,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,144.58,42.06,0,0,36.8,68.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,34.62,0,0,25.18,28.32,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,40,49,0,1,1,838,0,7,0,2,2,12,0,0,0,0
 24-34,0,0,0,0,23.8,0,13.13,0.82,2.46,1.64,0,0,0,0,6.57,0,0.82,0,0,7.39,14.78,0,6.57,102.61,9.85,7.39,0,0,1240.31,0,0,1.64,0,0.82,15.6,0,2.46,0,0.82
 36-46,0,0,0,0,16.11,0,9.67,0,10.47,3.22,2.42,0,0.81,0,3.22,0,0,0,0,4.83,17.72,0,2.42,59.62,0.81,4.03,2.42,0,1305.99,0,0.81,0,0,0,26.59,0,1.61,0,1.61
 48-58,0,0,0,0,18.36,0,18.36,0.57,13.2,4.02,0,1.72,0,0,1.72,0.57,0,0.57,1.15,7.46,8.61,0,0.57,36.72,0.57,2.87,0,0,880.22,0,0,0,0,0,8.03,0,0.57,0,0.57
 60-70,0,0,0,0,33.37,0,17.67,0,18.65,3.93,0,0.98,0,0,4.91,0,0.98,0,0,7.85,9.82,0,0.98,48.09,0.98,2.94,1.96,0,738.1,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,61.84,1.96,13.74,0,12.76,2.94,0,1.96,0,0,6.87,0,0.98,0,0,5.89,4.91,0,0,18.65,0.98,1.96,0,0,577.22,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,157.18,0,3.19,0,41.42,4.25,1.06,4.25,0,0,39.3,1.06,0,0,0,7.43,8.5,0,0,14.87,0,2.12,0,0,1621.73,0,0,0,0,0,1.06,3.19,1.06,0,0
 96-106,0,0,0,0,180.32,3.28,16.39,1.09,63.39,12.02,10.93,0,0,1.09,49.18,0,1.09,1.09,0,13.11,21.86,1.09,1.09,37.16,0,6.56,1.09,0,1772.6,0,0,0,1.09,0,0,5.46,0,2.19,2.19
108-118,0,0,0.77,0,189.19,1.53,8.43,0,85.79,5.36,13.79,0,0,0.77,45.19,1.53,0.77,0,0.77,9.19,18.38,0.77,1.53,40.6,0,1.53,0.77,0,1397.88,0,0,0,0,0,1.53,3.06,1.53,1.53,2.3
120,0,0,0,0,99.95,0,7.84,0,60.75,1.96,1.96,0,0,1.96,9.8,0,0,0,0,5.88,11.76,0,0,19.6,0,0,1.96,0,634.97,0,0,0,0,0,0,0,0,0,0
