stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,11.48,0,0,0,0.57,0,0.57,0,0,2.3,0
 60-70,0,0,0,0,0,0,0,0,23.56,0,0,0,2.94,0,0.98,0,0,1.96,0.98
 72-82,0,0,0,4.91,0,2.94,0,0.98,44.17,3.93,0,0,7.85,0.98,0,0.98,0,0.98,0
 84-94,1.06,0,0,2.12,0,2.12,0,0,87.09,0,1.06,1.06,3.19,0,3.19,1.06,0,0,0
 96-106,1.09,0,1.09,3.28,1.09,1.09,0,0,108.19,4.37,0,0,8.74,0,1.09,1.09,0,0,3.28
108-118,0.77,1.53,0,2.3,0,0.77,0,0.77,90.38,1.53,0,0,4.6,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,0,56.83,0,0,0,3.92,0,0,1.96,0,0,0
