stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,4,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,22.16,0.82,0,0,0,0,0,0,0,0,27.09,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,39.48,0,0,0,0,0,0,0,0,0,16.92,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0.57,0,0,0,0,0,0,1.15,0.57,0,0,64.27,0,0,0,0,0,0,0,0,0,15.49,0,0,0
 60-70,0,0,0,1.96,0,0,48.09,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,1.96,204.16,0,0.98,0,0,0,0,0,0,0,9.82,0,0,0.98
 72-82,0,0,0,5.89,0.98,0,298.43,0,0,1.96,17.67,0,0.98,0.98,0,0.98,0,0,4.91,0,0.98,406.41,0,0,0,0,0,0,0,0,0,12.76,0.98,1.96,0
 84-94,0,0,0,7.43,1.06,0,209.22,0,1.06,1.06,14.87,0,0,1.06,0,0,0,2.12,6.37,1.06,0,240.02,1.06,0,2.12,0,0,0,0,0,0,7.43,0,1.06,0
 96-106,0,1.09,0,8.74,2.19,1.09,306,0,1.09,1.09,20.76,0,0,0,4.37,1.09,0,3.28,9.84,0,2.19,254.63,0,0,1.09,0,0,0,1.09,0,0,8.74,1.09,1.09,0
108-118,0,0,0.77,3.83,0,0,175.41,0,0.77,0,5.36,0,0,0.77,1.53,0,0.77,0.77,6.13,0,0.77,287.24,0,0,0.77,0,0.77,0.77,0,0,0,1.53,0,0,0
120,0,0,0,3.92,0,0,99.95,1.96,1.96,0,15.68,0,0,3.92,0,0,0,0,17.64,0,0,295.93,0,0,3.92,0,0,1.96,0,0,0,5.88,0,0,0
