stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,105.15,10.51,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,6.29,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,248.61,31.47,0,0,69.23,0,0,3.15,3.15,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,63,8,31,0,0,5,9,1,0,0,1,1,0,0,0,74,0,0,33,311,32,0,7,5,0,16,0,19,1,0,11,73,0,0,5,0,0
 24-34,0,0,0,4.93,25.45,0,44.33,3.28,5.75,5.75,5.75,0,8.21,0,0.82,0.82,0,0,0,252,0,0,84.55,438.34,30.37,0.82,17.24,0,0.82,41.86,0,0,0,0,4.1,71.41,0,0,17.24,0,0.82
 36-46,0,0,0,0,12.09,0,57.2,1.61,26.59,22.56,0,0,11.28,0,0,0,2.42,0.81,0,464.07,1.61,2.42,87.01,364.97,31.42,0.81,12.89,0,0.81,41.09,0,0.81,0,0,0,81.37,0,0,24.17,0,0
 48-58,0,0,0,0.57,8.03,0,49.92,2.3,33.85,24.1,0,0,3.44,0,0,1.15,0,0.57,0.57,501.51,0.57,5.74,54.51,167.55,13.2,0.57,8.61,0,1.72,30.41,0,0,0,0,0,26.97,0,0,18.36,0,0.57
 60-70,0,0,0,0,8.83,0,49.08,10.8,38.28,25.52,0,0,0.98,0,0,0,0,0.98,0,647.8,0,6.87,41.22,100.12,9.82,0.98,4.91,0,2.94,66.74,0,0,0.98,0,0,12.76,0,3.93,21.59,1.96,1.96
 72-82,0,0,0,0,9.82,0.98,42.21,5.89,53.99,21.6,1.96,0,4.91,2.94,0,0,1.96,0.98,0,812.82,0,7.85,45.16,91.29,4.91,2.94,12.76,0,0,43.19,0,0,0,0.98,0,3.93,1.96,8.83,29.45,1.96,3.93
 84-94,0,0,0,0,22.3,2.12,66.91,10.62,42.48,23.36,1.06,1.06,1.06,3.19,2.12,1.06,1.06,0,1.06,541.64,0,11.68,27.61,57.35,9.56,1.06,14.87,0,1.06,128.51,0,0,0,0,0,5.31,0,6.37,24.43,2.12,2.12
 96-106,0,0,0,0,34.97,2.19,40.44,7.65,29.51,22.95,0,0,4.37,5.46,4.37,1.09,2.19,1.09,1.09,459,1.09,4.37,14.21,64.48,7.65,0,16.39,0,0,115.84,0,0,0,0,0,1.09,0,5.46,40.44,7.65,1.09
108-118,0,0,0,0,26.81,0.77,29.11,9.96,34.47,16.09,2.3,0,0.77,2.3,6.89,3.06,1.53,1.53,0.77,412.85,0.77,5.36,22.21,78.89,5.36,0.77,16.85,0,0.77,95.75,0,0,0.77,0,0,3.83,0,3.06,28.34,3.83,2.3
120,1.96,0,0,0,58.79,0,41.16,15.68,17.64,29.4,0,0,3.92,0,5.88,1.96,0,1.96,0,464.47,5.88,11.76,25.48,58.79,7.84,0,19.6,0,0,137.18,0,0,0,0,0,3.92,0,1.96,37.24,11.76,0
